@RELATION gradientboostingx1.0x1.0x0.05x0.1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Wood_Thrush_clean,Sparrow_clean,American_Goldfinch_clean,Scarlet_Tanager_clean,Robin_clean}

@DATA
0.182467,0.004113,2.298319,0.208139,0.106410,0.927084,0.003402,0.226299,-35.263027,-2.580390,1.746752,-0.924689,0.216326,0.026048,-0.186904,0.078387,0.024228,-0.104254,0.107906,-0.096349,0.006434,0.002114,0.001650,0.001525,0.001484,0.001915,0.001205,0.001099,0.001062,0.001709,0.002252,0.001596,0.001915,0.002352,0.036893,0.004787,0.564005,0.036308,0.027094,0.320686,0.003226,0.053615,3.307250,1.360874,0.787553,0.526621,0.444337,0.432298,0.382479,0.278087,0.235887,0.210345,0.182646,0.161051,0.154804,0.002716,0.002426,0.002165,0.002023,0.002637,0.001560,0.001423,0.001453,0.002278,0.002942,0.002200,0.002823,0.002180,Wood_Thrush_clean
0.071550,0.012783,2.917891,0.128608,0.152238,0.271821,0.008103,0.085625,-28.927746,1.069454,0.899434,0.284230,0.332230,0.193106,0.127550,0.076522,0.148617,0.141200,0.116289,0.104480,-0.023495,0.037418,0.002198,0.062608,0.048728,0.032009,0.011091,0.037051,0.001574,0.004250,0.012318,0.025741,0.002708,0.033737,0.031594,0.012470,0.295807,0.036441,0.025023,0.262249,0.005626,0.050579,2.144245,0.668937,0.417515,0.380886,0.402556,0.325739,0.282853,0.267833,0.220205,0.216916,0.195058,0.175217,0.172193,0.031418,0.003516,0.041719,0.031965,0.027315,0.013573,0.027847,0.003114,0.004645,0.010104,0.020168,0.003257,0.011495,Wood_Thrush_clean
0.137260,0.029540,2.878549,0.176196,0.125023,0.570842,0.009056,0.163781,-30.401674,-2.277865,1.195274,-0.306173,-0.167313,0.361293,-0.304124,0.200385,-0.099571,0.078754,-0.067195,0.094918,-0.095921,0.002755,0.001784,0.013414,0.005648,0.002465,0.004323,0.006227,0.000693,0.002466,0.001031,0.003232,0.005464,0.008684,0.054985,0.034490,0.425734,0.056189,0.029884,0.462427,0.007365,0.083931,3.332168,1.168945,0.624652,0.587414,0.567220,0.459737,0.385823,0.396301,0.354104,0.302533,0.248323,0.222926,0.211067,0.003870,0.003250,0.010018,0.007225,0.004048,0.007963,0.010029,0.001128,0.005782,0.001708,0.005001,0.012722,0.009054,Wood_Thrush_clean
0.175864,0.016970,2.787125,0.211668,0.115365,0.559280,0.008342,0.212119,-32.197334,-1.816792,1.055383,-0.575355,0.244983,-0.092440,0.012410,-0.014045,0.009195,-0.021269,0.048885,-0.051370,0.043437,0.005538,0.002028,0.002434,0.001234,0.001107,0.000482,0.002618,0.000383,0.002532,0.002705,0.004427,0.000956,0.004677,0.061305,0.016121,0.439141,0.058954,0.030140,0.492996,0.007242,0.087829,2.804971,1.073551,0.557426,0.471284,0.463946,0.411232,0.349245,0.281772,0.256545,0.229225,0.192901,0.179206,0.202201,0.009222,0.003415,0.003142,0.002154,0.001782,0.000777,0.005386,0.000649,0.004380,0.004358,0.004304,0.001495,0.004927,Wood_Thrush_clean
0.080932,0.007203,2.793846,0.123681,0.140489,0.339098,0.009738,0.089859,-29.922510,2.388297,0.996424,0.201267,0.019955,0.150888,-0.217314,-0.026425,-0.127633,-0.023833,-0.067515,0.051991,0.025769,0.049817,0.019641,0.044356,0.024946,0.015784,0.011868,0.010233,0.004491,0.003902,0.011622,0.029604,0.024460,0.033249,0.055319,0.006523,0.483409,0.055532,0.037322,0.365938,0.006912,0.080534,2.927712,1.114002,0.824297,0.512013,0.562188,0.471641,0.334817,0.322968,0.290565,0.270347,0.259281,0.231411,0.224788,0.049487,0.025368,0.045216,0.033047,0.018241,0.014116,0.011809,0.006653,0.005002,0.013951,0.029285,0.034449,0.016845,Wood_Thrush_clean
0.168750,0.038681,2.746273,0.200074,0.119146,0.529848,0.007786,0.192169,-31.337501,-2.408331,1.260204,-0.576039,0.081398,0.125574,-0.188936,0.140489,-0.097530,0.057000,-0.053911,0.033259,-0.019355,0.000882,0.001096,0.002741,0.000742,0.002021,0.000889,0.000422,0.001812,0.002992,0.000466,0.001120,0.001745,0.003175,0.060027,0.041846,0.608095,0.048892,0.030991,0.398824,0.007382,0.073874,3.524143,1.012342,0.650855,0.679064,0.675903,0.552411,0.436698,0.417225,0.389761,0.302407,0.212302,0.205927,0.217582,0.001558,0.001966,0.006004,0.001529,0.004232,0.001629,0.000680,0.003578,0.006210,0.000720,0.001619,0.003617,0.003828,Wood_Thrush_clean
0.171673,0.037305,2.758595,0.204031,0.122461,0.560096,0.007666,0.196120,-31.886838,-2.387122,1.210649,-0.504706,0.016219,0.160688,-0.197275,0.126458,-0.075168,0.035917,-0.028556,0.018901,-0.003862,0.001478,0.001101,0.002425,0.001084,0.002417,0.000763,0.000388,0.001462,0.002033,0.000781,0.001159,0.001513,0.003065,0.060378,0.046161,0.613014,0.050290,0.028846,0.411213,0.007237,0.077317,3.836711,1.022030,0.624336,0.685222,0.701741,0.556181,0.413273,0.402944,0.393897,0.305634,0.212867,0.207036,0.219928,0.002878,0.002106,0.005736,0.002011,0.005637,0.001446,0.000625,0.002967,0.003771,0.001247,0.002333,0.002909,0.003728,Wood_Thrush_clean
0.178083,0.031756,2.675882,0.211703,0.124621,0.684716,0.007927,0.208357,-32.105694,-2.204733,1.210354,-0.594178,0.063964,-0.020139,-0.198212,0.055466,-0.106486,0.060032,-0.035191,0.085966,-0.021531,0.000978,0.001237,0.001390,0.000697,0.001509,0.000731,0.001662,0.001330,0.001510,0.001047,0.000781,0.002280,0.002718,0.063582,0.035675,0.545493,0.060657,0.030573,0.463892,0.007193,0.081424,3.317343,1.188132,0.693704,0.622490,0.547266,0.472580,0.376969,0.339494,0.271244,0.232072,0.227916,0.215428,0.193180,0.001793,0.002658,0.002994,0.001195,0.003228,0.001524,0.002990,0.002110,0.002962,0.001838,0.001433,0.005425,0.002710,Wood_Thrush_clean
0.035379,0.016575,2.922864,0.083581,0.139800,0.119564,0.014450,0.043484,-28.848459,3.208005,1.206237,0.505673,0.134269,0.060749,-0.311957,-0.205012,-0.258764,-0.197004,-0.209261,-0.152702,-0.140062,0.025634,0.019300,0.018185,0.015654,0.022030,0.026472,0.026162,0.003602,0.022732,0.024694,0.027300,0.031888,0.029591,0.012626,0.011907,0.266819,0.032861,0.043741,0.105043,0.008149,0.017048,1.927714,0.974694,0.494779,0.349241,0.338452,0.304909,0.276978,0.244668,0.231216,0.209132,0.185718,0.180609,0.167737,0.026077,0.019897,0.015276,0.015556,0.020665,0.022256,0.022908,0.004544,0.021512,0.021211,0.024646,0.027486,0.012098,Wood_Thrush_clean
0.081162,0.013852,2.781760,0.120789,0.125079,0.320028,0.007311,0.101852,-29.445521,1.278313,0.602898,-0.438144,-0.161721,-0.139885,-0.202729,0.034997,-0.226355,-0.104116,-0.230389,0.062595,-0.012196,0.027320,0.044358,0.013186,0.007816,0.014561,0.007471,0.004759,0.004373,0.005559,0.004950,0.005100,0.014798,0.021621,0.029315,0.013865,0.468795,0.035723,0.039623,0.240222,0.005203,0.049068,2.853828,1.221881,0.701430,0.478789,0.553372,0.440318,0.343605,0.304053,0.259816,0.216309,0.231314,0.216203,0.160428,0.031350,0.039480,0.012923,0.011382,0.019528,0.010461,0.005848,0.005771,0.005958,0.008015,0.007438,0.022297,0.010317,Wood_Thrush_clean
