@RELATION gradientboostingx0.1x1.0x0.01x0.01
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Goldfinch_clean,Thrush_clean}

@DATA
0.141141,0.019643,2.713829,0.197154,0.145152,0.402951,0.041861,0.152159,-38.710628,-1.776059,-0.421690,0.152356,0.697063,0.359123,0.249570,-0.075855,-0.002629,0.082649,0.430977,0.498923,0.398603,0.003481,0.004147,0.004918,0.005776,0.005952,0.017981,0.002325,0.001079,0.000543,0.003917,0.057888,0.001697,0.025087,0.055183,0.024394,0.481482,0.062939,0.047721,0.352639,0.038860,0.068525,3.957752,1.026872,0.468967,0.226838,0.282207,0.258631,0.173878,0.140725,0.130424,0.115252,0.169122,0.212699,0.146580,0.010069,0.011192,0.012253,0.014086,0.014356,0.023256,0.005258,0.003950,0.001162,0.012966,0.044182,0.005911,0.012445,Goldfinch_clean
0.089705,0.007750,2.875312,0.204887,0.232440,0.684383,0.024501,0.115576,-33.558467,-1.538850,-0.058186,0.346517,1.414838,0.882277,0.578226,0.288082,0.000877,0.428131,0.610752,0.928196,0.559961,0.002150,0.001598,0.002494,0.001085,0.001317,0.011553,0.001294,0.001957,0.002695,0.001604,0.155821,0.001571,0.043626,0.061797,0.008565,0.258405,0.039251,0.032778,0.401756,0.019220,0.089889,1.628069,0.485737,0.749141,0.332683,0.286724,0.253738,0.245692,0.243071,0.219081,0.213633,0.214380,0.216591,0.195553,0.005727,0.004591,0.003800,0.003582,0.003629,0.012374,0.003343,0.004548,0.005223,0.003920,0.057216,0.004072,0.014798,Goldfinch_clean
0.167968,0.006563,3.053837,0.254559,0.176966,0.444428,0.043140,0.204174,-40.278830,-2.446085,-0.441786,0.000486,0.706264,0.198893,0.280538,-0.051492,0.069924,0.019521,0.347363,0.393505,0.321105,0.006103,0.007305,0.025128,0.006444,0.000769,0.009264,0.002195,0.000478,0.000401,0.000858,0.019957,0.002630,0.018482,0.053131,0.014191,0.300256,0.090764,0.069352,0.534822,0.114398,0.097595,4.642698,1.273654,0.553364,0.288537,0.338098,0.240938,0.217222,0.177426,0.168913,0.142806,0.204455,0.219945,0.183672,0.017423,0.019003,0.036679,0.013424,0.001052,0.020337,0.005705,0.000916,0.000642,0.002270,0.045177,0.009630,0.014771,Goldfinch_clean
0.117600,0.002331,2.984836,0.207120,0.207258,0.846886,0.014195,0.151503,-37.128372,-1.657794,-0.407954,0.063352,0.520373,0.292454,0.140095,-0.021356,-0.133626,0.076256,0.454714,0.540975,0.419746,0.004300,0.003312,0.014386,0.003476,0.004575,0.030521,0.002899,0.003796,0.006318,0.003806,0.055593,0.003314,0.020339,0.057022,0.006083,0.205153,0.035227,0.044914,0.444176,0.011786,0.079784,1.523246,0.985519,0.583127,0.434004,0.412783,0.374891,0.328373,0.298057,0.293599,0.280894,0.276116,0.287596,0.276162,0.004894,0.004782,0.013538,0.005454,0.006312,0.024432,0.004646,0.004726,0.006580,0.005550,0.035245,0.004429,0.009436,Thrush_clean
0.108659,0.001876,2.935158,0.201024,0.212399,0.756623,0.013968,0.134988,-36.729876,-1.679238,-0.751799,0.060523,0.374030,0.315201,0.010276,-0.050119,-0.190148,0.063458,0.428584,0.517962,0.377466,0.005895,0.003649,0.020106,0.003563,0.004988,0.033171,0.002970,0.003998,0.006982,0.003290,0.048038,0.003040,0.019292,0.046418,0.004603,0.253104,0.037801,0.040364,0.396871,0.010858,0.065985,1.479560,0.855785,0.561731,0.404006,0.401450,0.379690,0.340735,0.304885,0.302218,0.283883,0.277836,0.288191,0.280612,0.007204,0.005338,0.016726,0.005695,0.006144,0.022545,0.004890,0.005164,0.006793,0.004520,0.029474,0.004347,0.007335,Thrush_clean
0.048044,0.005772,2.838409,0.135416,0.190083,0.305895,0.039424,0.058993,-36.527712,-1.270153,-0.583336,0.700211,0.950618,0.729736,0.411163,0.201985,0.101114,0.251376,0.620965,0.701946,0.473498,0.002237,0.002014,0.004031,0.001857,0.001543,0.011621,0.001330,0.001251,0.002488,0.002066,0.160341,0.002209,0.046018,0.035370,0.007902,0.249419,0.038936,0.029897,0.264077,0.041140,0.052637,1.326570,0.587436,0.404882,0.372180,0.353283,0.327035,0.299088,0.281623,0.283829,0.271470,0.264534,0.266254,0.260937,0.003973,0.003956,0.005754,0.004163,0.002845,0.013615,0.003377,0.002193,0.004213,0.003687,0.043260,0.004328,0.010767,Thrush_clean
0.197350,0.014752,3.113016,0.243138,0.147153,0.678426,0.023001,0.225550,-36.894685,-4.074677,-0.131904,-0.052716,0.581747,0.542601,0.122512,0.035088,-0.050788,0.121910,0.340479,0.561192,0.267123,0.005762,0.004675,0.010210,0.006491,0.004068,0.009970,0.003322,0.010309,0.006819,0.009244,0.005619,0.007948,0.015155,0.076227,0.023708,0.175686,0.064014,0.032424,0.410063,0.020978,0.087862,2.960314,0.942042,0.588009,0.493629,0.505424,0.429174,0.334235,0.265391,0.249465,0.238735,0.242998,0.236112,0.204270,0.010156,0.009689,0.019860,0.014513,0.008977,0.017623,0.006279,0.019705,0.014086,0.015751,0.010572,0.015669,0.011141,Thrush_clean
0.186580,0.003613,3.104366,0.296670,0.250095,1.226595,0.010913,0.231243,-38.558666,-1.943025,0.062218,0.089569,0.648853,0.409566,0.264259,0.055159,-0.136951,0.133993,0.385810,0.539409,0.437303,0.012736,0.017225,0.008947,0.004055,0.003888,0.013510,0.004588,0.002564,0.003242,0.003158,0.021974,0.004974,0.013142,0.040834,0.006431,0.139167,0.036848,0.024663,0.378546,0.009715,0.079662,1.346292,0.672016,0.477027,0.377903,0.363708,0.348608,0.330582,0.300319,0.299200,0.287584,0.269467,0.276947,0.272417,0.012428,0.016264,0.008726,0.005825,0.006506,0.012743,0.006598,0.003746,0.004193,0.004769,0.015181,0.005993,0.006204,Thrush_clean
0.184282,0.004615,3.064466,0.267793,0.223951,1.250314,0.011731,0.214148,-36.753233,-1.931060,-0.040105,0.261848,0.826980,0.546964,0.231275,0.140345,-0.051102,0.239158,0.502505,0.746263,0.451387,0.003214,0.003308,0.004874,0.003237,0.009723,0.022556,0.006340,0.003371,0.003233,0.002201,0.033182,0.002010,0.014519,0.038174,0.007279,0.145332,0.035714,0.022146,0.374519,0.009605,0.054146,1.333794,0.642857,0.503775,0.392620,0.374605,0.353000,0.326243,0.302967,0.308457,0.294019,0.281787,0.283597,0.281315,0.005263,0.005668,0.006131,0.004583,0.010143,0.017845,0.007495,0.004609,0.004485,0.003895,0.021361,0.003404,0.006945,Thrush_clean
0.164000,0.002906,3.098713,0.247722,0.222548,1.160270,0.013572,0.217157,-37.856417,-1.934795,-0.292528,0.154773,0.846398,0.534432,0.311706,0.160374,0.097808,0.124191,0.528886,0.616053,0.391307,0.008412,0.004486,0.008385,0.003347,0.005486,0.012893,0.003767,0.004663,0.005576,0.005276,0.062228,0.004887,0.021012,0.050961,0.005292,0.168391,0.034722,0.034327,0.420580,0.013011,0.070631,1.144279,0.691126,0.458957,0.386232,0.384614,0.358528,0.335620,0.310604,0.316184,0.300800,0.283734,0.290784,0.286440,0.011544,0.007489,0.008907,0.005737,0.008085,0.011888,0.006217,0.006399,0.005961,0.007434,0.040329,0.007552,0.010819,Thrush_clean
