@RELATION gradientboostingx0.5x1.0x0.05x0.05
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Common_Loon_clean,Wood_Thrush_clean,Blue_Jay_clean,Carolina_Wren_clean,Sparrow_clean,American_Goldfinch_clean,Black_Capped_Chickadee_clean,Robin_clean}

@DATA
0.044717,0.015068,3.144837,0.097916,0.149203,0.026504,0.026493,0.049117,-28.489776,0.463251,-2.614259,0.901118,0.483398,-0.414165,-0.193918,0.200052,-0.056771,-0.010284,-0.017117,-0.006264,0.028229,0.021581,0.016876,0.007037,0.006838,0.007074,0.009477,0.007949,0.006887,0.002939,0.004148,0.005090,0.030119,0.024717,0.007795,0.010645,0.138334,0.030004,0.043027,0.035926,0.023097,0.008634,1.750336,0.852056,0.525423,0.463444,0.343685,0.390169,0.316563,0.355094,0.265269,0.295710,0.207365,0.220116,0.182450,0.022411,0.019660,0.009024,0.007580,0.008288,0.015742,0.012981,0.011460,0.006270,0.011314,0.008796,0.027148,0.015000,Common_Loon_clean
0.018661,0.000857,2.676013,0.102321,0.185470,0.078881,0.045008,0.024484,-35.399984,1.920830,-0.503001,0.608245,0.498404,0.198625,-0.192508,0.222779,0.201410,0.012135,-0.096880,0.097884,0.143213,0.039469,0.001821,0.072268,0.002088,0.027882,0.001210,0.136181,0.000925,0.001139,0.002785,0.015119,0.002854,0.057695,0.012250,0.000968,0.420528,0.038127,0.041541,0.127533,0.046583,0.021866,3.226107,0.851975,0.673857,0.463963,0.369461,0.291310,0.311235,0.238778,0.241995,0.192468,0.193249,0.170535,0.166362,0.031532,0.002566,0.066148,0.004161,0.027785,0.002311,0.092974,0.002553,0.002609,0.004549,0.019922,0.004534,0.025195,Common_Loon_clean
0.049984,0.022546,3.061107,0.099315,0.146249,0.016461,0.021136,0.053815,-28.020477,-0.194070,-2.584561,1.395548,0.236872,-0.718905,0.212530,0.204638,-0.331082,0.127748,0.136068,-0.120443,-0.062917,0.022701,0.004966,0.003511,0.005879,0.009891,0.016011,0.004761,0.009884,0.002940,0.003762,0.001458,0.001828,0.015924,0.002284,0.011714,0.144557,0.026263,0.042736,0.016127,0.013648,0.002260,1.490106,0.776898,0.454171,0.368243,0.249052,0.302251,0.206694,0.267280,0.188367,0.198219,0.147548,0.154269,0.135855,0.017834,0.005454,0.004449,0.006606,0.009790,0.014726,0.005158,0.009433,0.005789,0.008343,0.002815,0.002484,0.009371,Common_Loon_clean
0.036673,0.026914,3.080776,0.098837,0.163911,0.013944,0.030214,0.037716,-28.138700,1.248454,-2.610037,-0.161888,0.921117,0.271646,-0.631988,-0.144907,0.312657,0.092894,-0.207819,0.043313,0.125761,0.068382,0.002655,0.005107,0.000304,0.000519,0.000617,0.008376,0.015897,0.011827,0.002953,0.013654,0.011151,0.031630,0.002257,0.015919,0.188122,0.030519,0.043502,0.013983,0.031562,0.001909,1.785517,0.808216,0.347176,0.316470,0.235052,0.232217,0.208885,0.200955,0.188354,0.156236,0.170782,0.125504,0.151786,0.048014,0.002362,0.008351,0.000237,0.000738,0.000982,0.011817,0.016367,0.022895,0.005376,0.011065,0.011661,0.018772,Common_Loon_clean
0.038257,0.039848,3.194172,0.102453,0.165702,0.022894,0.031054,0.040378,-27.083814,1.063811,-2.571916,0.000580,0.894262,0.160943,-0.692021,-0.089296,0.420952,0.009498,-0.313181,0.060210,0.169697,0.058604,0.007036,0.001081,0.000504,0.000518,0.001395,0.001874,0.003260,0.003503,0.007375,0.014842,0.060313,0.037389,0.004223,0.017819,0.116138,0.031728,0.042605,0.029118,0.035713,0.006064,1.646112,0.766262,0.323079,0.298158,0.192594,0.253774,0.198234,0.240885,0.182239,0.202538,0.141250,0.159905,0.121511,0.054370,0.008511,0.001118,0.000576,0.000554,0.002224,0.003343,0.008338,0.009155,0.015619,0.023963,0.041053,0.023334,Common_Loon_clean
0.062286,0.036322,3.166279,0.121351,0.155236,0.249028,0.037791,0.073681,-27.977716,-0.756202,-1.314992,0.174434,0.402995,-0.215402,0.062947,-0.205408,0.210258,-0.027787,-0.258803,0.332843,-0.105502,0.057329,0.002448,0.002107,0.001478,0.001847,0.001502,0.009265,0.007599,0.009976,0.004035,0.006373,0.007163,0.026773,0.018782,0.019997,0.208889,0.027194,0.037659,0.225466,0.030194,0.030883,2.056199,1.017902,0.762246,0.636267,0.606503,0.467369,0.402512,0.450180,0.438658,0.363710,0.339290,0.272625,0.301648,0.048704,0.005050,0.005147,0.003589,0.005120,0.003302,0.024289,0.020121,0.026336,0.009749,0.013283,0.017503,0.019978,Common_Loon_clean
0.121593,0.020963,2.978118,0.176206,0.132637,0.546086,0.014201,0.161823,-30.172328,-0.040462,-1.746177,0.716774,0.539659,-0.612116,-0.178493,0.380921,-0.068335,-0.266489,0.160709,0.062224,-0.165802,0.001041,0.000761,0.005337,0.036411,0.005152,0.001314,0.001468,0.001286,0.001453,0.000874,0.002718,0.004001,0.013288,0.036896,0.014193,0.210751,0.035440,0.033883,0.291564,0.013757,0.059546,2.159095,0.805232,0.526452,0.364757,0.269707,0.289831,0.246903,0.244099,0.221209,0.179253,0.172380,0.148501,0.172284,0.001775,0.000915,0.006425,0.037310,0.007755,0.002050,0.002010,0.001581,0.001337,0.001002,0.005651,0.009027,0.011845,Common_Loon_clean
0.034052,0.035359,3.027026,0.109041,0.181231,0.103535,0.024410,0.041001,-28.944034,2.225091,-1.153178,0.338333,0.555072,0.298368,-0.249278,0.009334,0.061033,0.131778,0.038288,0.019356,-0.112673,0.016304,0.050628,0.016223,0.004110,0.027588,0.006361,0.046224,0.004637,0.020689,0.012255,0.011135,0.002786,0.038456,0.023205,0.022985,0.350959,0.039923,0.043388,0.173500,0.022870,0.030674,2.644872,1.067442,0.743384,0.509349,0.407236,0.326861,0.324396,0.300775,0.294446,0.285929,0.222356,0.206571,0.168369,0.022785,0.042171,0.025510,0.004866,0.030565,0.011394,0.035735,0.009587,0.027120,0.017037,0.015524,0.006325,0.019171,Common_Loon_clean
0.017842,0.004379,2.787804,0.108693,0.204364,0.088155,0.036597,0.016383,-31.780191,2.653123,0.495526,0.619471,0.132289,0.200486,0.136130,0.109347,0.108162,0.132137,0.091499,0.160186,0.061536,0.003834,0.000732,0.060753,0.006797,0.050164,0.004956,0.155541,0.000356,0.003991,0.004463,0.032031,0.001069,0.058326,0.021337,0.004520,0.376983,0.039789,0.038659,0.129353,0.041614,0.023219,3.345957,0.831256,0.480435,0.359494,0.307787,0.271843,0.236598,0.216447,0.197841,0.173388,0.154664,0.158089,0.133569,0.005095,0.001415,0.048866,0.009448,0.037812,0.007504,0.089555,0.000722,0.005979,0.005769,0.026839,0.001888,0.020750,Common_Loon_clean
0.024529,0.032873,2.828945,0.161356,0.260253,0.039755,0.026337,0.017075,-27.489746,1.746192,-0.119187,1.114115,-0.059066,-0.050144,0.623257,0.020868,-0.144566,0.323559,-0.024176,-0.071251,0.232836,0.000563,0.000117,0.037228,0.000440,0.048559,0.001191,0.239541,0.003137,0.001184,0.000794,0.004831,0.000229,0.071747,0.016942,0.024353,0.248001,0.032093,0.026794,0.034249,0.021926,0.014312,1.591359,0.589293,0.370019,0.368342,0.229048,0.258504,0.311370,0.209819,0.230309,0.198988,0.173040,0.174819,0.168176,0.000697,0.000147,0.040573,0.000484,0.040558,0.002071,0.122518,0.004862,0.001857,0.000907,0.005377,0.000427,0.027995,Common_Loon_clean
