@RELATION gradientboostingx0.5x1.0x0.01x0.1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Common_Loon_clean,Wood_Thrush_clean,Blue_Jay_clean,Carolina_Wren_clean,Sparrow_clean,American_Goldfinch_clean,Black_Capped_Chickadee_clean,Robin_clean}

@DATA
0.044724,0.015037,3.123461,0.089626,0.137709,0.020073,0.002770,0.049732,-28.127519,0.380968,-2.823740,0.976415,0.566518,-0.466929,-0.230479,0.224185,-0.093753,-0.012226,0.021384,-0.018186,0.008795,0.010764,0.003064,0.003094,0.002737,0.003952,0.005233,0.003850,0.001079,0.002246,0.001921,0.004163,0.009438,0.009235,0.006540,0.009423,0.143403,0.026248,0.041842,0.032384,0.002759,0.008568,1.607875,0.855326,0.543524,0.468067,0.372671,0.411376,0.320344,0.380752,0.276975,0.303749,0.215380,0.222598,0.198795,0.015602,0.003706,0.003321,0.003025,0.004461,0.008268,0.007216,0.001738,0.005637,0.003500,0.006374,0.010028,0.007829,Common_Loon_clean
0.018655,0.000856,2.500358,0.090404,0.172053,0.070798,0.006623,0.025464,-34.853710,1.922271,-0.495434,0.707253,0.531632,0.242454,-0.220991,0.263932,0.201584,0.010110,-0.108990,0.095786,0.164198,0.014936,0.001438,0.142653,0.030728,0.036900,0.003515,0.107322,0.000374,0.001718,0.007725,0.044639,0.004447,0.059769,0.010065,0.000800,0.471630,0.036554,0.042496,0.117909,0.008861,0.021719,3.022576,0.925599,0.737258,0.567059,0.437639,0.346686,0.367982,0.288954,0.288906,0.236429,0.226066,0.205380,0.192606,0.017297,0.002606,0.110928,0.027738,0.044797,0.006382,0.090659,0.000726,0.003371,0.010636,0.044003,0.007283,0.033166,Common_Loon_clean
0.050001,0.022534,3.097343,0.088670,0.130349,0.008484,0.002877,0.053814,-27.855454,-0.236482,-2.808257,1.517650,0.298535,-0.801041,0.236375,0.202694,-0.366398,0.148300,0.157279,-0.133243,-0.100992,0.010129,0.000664,0.001658,0.002459,0.005333,0.009870,0.002076,0.004289,0.001868,0.000779,0.000541,0.000461,0.007623,0.001873,0.009936,0.128519,0.023454,0.042898,0.009382,0.002209,0.001856,1.519931,0.812778,0.515170,0.384219,0.265197,0.317643,0.208692,0.292798,0.193245,0.211712,0.151133,0.156409,0.144916,0.010331,0.000929,0.001766,0.002652,0.005113,0.008686,0.002290,0.004690,0.003675,0.001581,0.001024,0.000648,0.005537,Common_Loon_clean
0.036669,0.026900,3.053895,0.091184,0.155374,0.007984,0.005523,0.037663,-27.906520,1.249546,-2.714461,-0.202885,0.993492,0.321105,-0.671205,-0.191395,0.324815,0.119902,-0.207439,0.035804,0.118004,0.014506,0.000295,0.002578,0.000233,0.000484,0.000314,0.013099,0.008684,0.007274,0.001080,0.005634,0.021787,0.016854,0.002011,0.014039,0.184584,0.028728,0.044506,0.008735,0.005899,0.001711,1.788645,0.818525,0.374374,0.322523,0.248134,0.235830,0.216611,0.202755,0.195421,0.157509,0.176529,0.126763,0.153567,0.011577,0.000280,0.003986,0.000346,0.000814,0.000533,0.020651,0.013110,0.015464,0.001528,0.006956,0.020835,0.014259,Common_Loon_clean
0.038251,0.039825,3.188620,0.095419,0.157210,0.016099,0.004729,0.039886,-26.807616,1.063543,-2.673463,-0.020551,0.938936,0.199949,-0.725818,-0.131811,0.445365,0.017357,-0.332400,0.067241,0.167358,0.030877,0.000630,0.000249,0.000191,0.000259,0.000482,0.001326,0.001334,0.003604,0.003889,0.010394,0.005609,0.013824,0.004014,0.015714,0.114513,0.030288,0.044480,0.023474,0.005509,0.005065,1.634092,0.792230,0.378772,0.305715,0.204940,0.275930,0.200236,0.260942,0.190118,0.205711,0.143079,0.156602,0.125524,0.032791,0.000751,0.000265,0.000199,0.000328,0.000806,0.002928,0.003428,0.009315,0.006368,0.015996,0.007548,0.012320,Common_Loon_clean
0.062145,0.036295,3.119920,0.111760,0.140056,0.285783,0.003123,0.075042,-27.338730,-0.942940,-1.438328,0.135669,0.512113,-0.268071,0.107514,-0.295332,0.245852,-0.044295,-0.283372,0.399056,-0.161665,0.007398,0.001072,0.000907,0.000814,0.001003,0.000660,0.004594,0.003426,0.003465,0.001714,0.002900,0.009054,0.008422,0.016212,0.018886,0.247662,0.026228,0.041604,0.240734,0.003632,0.030584,1.842134,1.021112,0.793190,0.660782,0.659732,0.527986,0.439833,0.481572,0.470983,0.416715,0.395044,0.325485,0.326908,0.010768,0.002281,0.001890,0.001963,0.002526,0.001634,0.013579,0.009021,0.008291,0.003165,0.005272,0.016787,0.009442,Common_Loon_clean
0.121620,0.020917,2.993741,0.174873,0.127001,0.570821,0.001787,0.160456,-29.965474,-0.133392,-1.832547,0.748492,0.602279,-0.656860,-0.228421,0.416377,-0.056329,-0.306448,0.163639,0.061430,-0.177336,0.000438,0.000371,0.015084,0.011583,0.002748,0.000363,0.000764,0.000717,0.000889,0.000714,0.001201,0.001381,0.008065,0.033898,0.012093,0.174864,0.033536,0.032219,0.274184,0.001788,0.054639,2.138141,0.885776,0.544589,0.366139,0.317149,0.314481,0.274201,0.270643,0.250431,0.206523,0.195113,0.162016,0.189182,0.000630,0.000480,0.016967,0.014819,0.003372,0.000455,0.000972,0.000988,0.000960,0.000885,0.002899,0.002876,0.007886,Common_Loon_clean
0.034149,0.035348,2.934964,0.096583,0.167001,0.083528,0.002706,0.038001,-28.309949,2.430142,-1.194009,0.269747,0.522468,0.318334,-0.259297,0.035794,0.042073,0.168298,0.038265,0.002685,-0.150514,0.012439,0.001963,0.015358,0.025023,0.043235,0.046777,0.020057,0.006520,0.014785,0.006088,0.011321,0.008405,0.032938,0.020936,0.021635,0.373349,0.036652,0.040108,0.150812,0.002772,0.027163,2.417688,1.029301,0.960740,0.498261,0.435373,0.360694,0.367502,0.357535,0.335279,0.292082,0.225989,0.200211,0.196247,0.018894,0.002704,0.022561,0.036595,0.048215,0.045963,0.023692,0.013460,0.022959,0.009108,0.018832,0.015104,0.017963,Common_Loon_clean
0.017831,0.004379,2.708066,0.101579,0.201526,0.067035,0.007444,0.014423,-31.306569,2.722403,0.529247,0.661128,0.119113,0.210373,0.153576,0.111807,0.115246,0.147510,0.098580,0.187867,0.069112,0.018667,0.005984,0.186315,0.064440,0.019250,0.005925,0.060927,0.002726,0.003480,0.009121,0.039220,0.002318,0.068061,0.017675,0.003847,0.435492,0.034015,0.035792,0.105437,0.010358,0.019627,3.081343,0.833661,0.550481,0.391077,0.338012,0.296727,0.266579,0.241923,0.219583,0.191849,0.168983,0.173380,0.147421,0.019888,0.008624,0.130638,0.039741,0.022735,0.007863,0.051008,0.004037,0.004567,0.009299,0.028260,0.003221,0.030521,Common_Loon_clean
0.024489,0.032878,2.811880,0.167057,0.266047,0.032285,0.004346,0.017062,-26.989196,1.675785,-0.124927,1.174813,-0.074525,-0.077944,0.708514,0.030758,-0.176186,0.339140,-0.029547,-0.081970,0.259092,0.001361,0.000192,0.284864,0.074643,0.009130,0.001230,0.065542,0.001361,0.000497,0.001887,0.015847,0.000301,0.086761,0.013078,0.020021,0.240113,0.026953,0.023966,0.022616,0.003908,0.013638,1.414705,0.561808,0.352046,0.358103,0.227173,0.249000,0.320168,0.217061,0.244779,0.199523,0.177154,0.181951,0.172346,0.001692,0.000241,0.187162,0.036396,0.010886,0.001581,0.064725,0.001765,0.000691,0.002150,0.017878,0.000456,0.045019,Common_Loon_clean
