@RELATION gradientboostingx0.1x0.5x0.1x0.1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Goldfinch_clean,Thrush_clean}

@DATA
0.141082,0.019793,2.059697,0.186545,0.105798,0.571400,0.011905,0.172390,-34.903130,0.499585,0.623506,-0.046319,0.253240,-0.131352,0.067597,-0.162656,0.046641,-0.119384,0.080045,-0.075714,0.107195,0.025832,0.011324,0.025757,0.018263,0.005884,0.001478,0.004815,0.004757,0.000449,0.002825,0.002923,0.004085,0.019164,0.026457,0.009861,0.377926,0.036756,0.035366,0.268822,0.011055,0.040078,2.765648,0.632670,0.282317,0.207145,0.180908,0.172838,0.145370,0.126821,0.116268,0.110212,0.095933,0.094844,0.087198,0.012164,0.006536,0.015323,0.013017,0.005362,0.001258,0.003930,0.003496,0.000457,0.002734,0.002185,0.004233,0.007800,Goldfinch_clean
0.089801,0.007820,2.931918,0.215659,0.220933,0.813285,0.004696,0.138816,-28.879190,1.405198,2.216507,0.186985,0.955741,0.316899,0.309478,0.386613,-0.040750,0.241675,0.018528,0.183753,0.084310,0.036796,0.001028,0.048567,0.016493,0.091223,0.004783,0.064286,0.000486,0.002090,0.042033,0.041729,0.002047,0.041928,0.028480,0.003550,0.163906,0.019829,0.023680,0.264897,0.001738,0.057342,0.985101,0.378236,0.530302,0.255625,0.194077,0.185016,0.152387,0.145921,0.150313,0.131850,0.123834,0.121880,0.110317,0.026226,0.000798,0.026840,0.010973,0.062324,0.003772,0.039476,0.000468,0.001657,0.028612,0.024361,0.001600,0.014227,Goldfinch_clean
0.168584,0.007010,2.030546,0.231207,0.146154,0.292547,0.030898,0.194711,-35.232170,-0.542629,0.397411,-0.259222,0.311837,-0.246193,0.202901,-0.122595,0.137369,-0.108260,0.091661,-0.062721,0.065846,0.002451,0.001095,0.004001,0.004181,0.000460,0.000943,0.000147,0.000023,0.000087,0.000871,0.000243,0.000706,0.003461,0.036379,0.007952,0.654727,0.043664,0.048544,0.315767,0.022274,0.029231,2.948587,0.561245,0.348122,0.287426,0.180784,0.194586,0.176889,0.132933,0.131570,0.108082,0.104413,0.102774,0.094421,0.003616,0.001876,0.004955,0.008274,0.000769,0.001534,0.000222,0.000026,0.000118,0.001500,0.000341,0.001213,0.004000,Goldfinch_clean
0.117273,0.002340,2.606500,0.201916,0.187668,0.834721,0.002475,0.157095,-31.234113,0.663204,1.040487,-0.279649,-0.263152,-0.344263,-0.307561,-0.122430,-0.126840,-0.097247,0.013854,-0.081407,0.024936,0.013600,0.005613,0.006463,0.017839,0.018854,0.016655,0.013170,0.005458,0.007140,0.005798,0.004665,0.012189,0.018623,0.030472,0.002075,0.417373,0.021207,0.034839,0.279565,0.001179,0.049132,0.871821,0.774835,0.528594,0.309707,0.230476,0.209205,0.168784,0.141375,0.129185,0.115630,0.108082,0.102546,0.096390,0.009520,0.004769,0.005233,0.011473,0.009727,0.009035,0.008457,0.004670,0.005207,0.004143,0.003025,0.009016,0.009588,Thrush_clean
0.108684,0.001883,2.799836,0.189759,0.196114,0.713558,0.003799,0.132971,-30.768391,1.049158,0.586165,-0.248725,-0.480167,-0.394160,-0.494208,-0.202004,-0.224807,-0.141685,-0.075133,-0.164439,-0.057581,0.014848,0.009361,0.010932,0.013986,0.013722,0.011669,0.009425,0.007285,0.008921,0.007441,0.006982,0.008666,0.012534,0.025381,0.001701,0.336668,0.024482,0.027434,0.262996,0.001972,0.042209,0.835270,0.658143,0.436471,0.260036,0.238070,0.200506,0.176513,0.141306,0.134665,0.120125,0.112522,0.109979,0.109405,0.008665,0.007287,0.008406,0.010151,0.007559,0.007893,0.007184,0.006023,0.006593,0.005737,0.005061,0.006315,0.005433,Thrush_clean
0.048082,0.005803,2.968908,0.124868,0.176349,0.275627,0.008676,0.058577,-31.164713,1.438288,0.692703,0.705801,0.397080,0.211352,0.115279,0.160171,0.171247,0.127639,0.205862,0.105839,0.063889,0.029189,0.001565,0.090306,0.058419,0.055761,0.006788,0.063514,0.000867,0.002896,0.016580,0.032273,0.001655,0.043815,0.016691,0.003976,0.180707,0.017988,0.014791,0.145837,0.004698,0.027598,0.638985,0.337606,0.209014,0.215102,0.205898,0.167845,0.141085,0.133083,0.132672,0.129080,0.118271,0.100690,0.102345,0.018399,0.001528,0.052638,0.024945,0.037221,0.006038,0.038256,0.000988,0.002293,0.011168,0.019696,0.001323,0.013374,Thrush_clean
0.196699,0.015032,2.913020,0.225022,0.117111,0.683794,0.010739,0.226739,-33.681177,-2.309038,1.146540,-0.442977,-0.030920,0.144146,-0.153878,0.068572,-0.021838,0.023634,-0.056468,0.085204,-0.113439,0.000952,0.001993,0.001247,0.000514,0.001597,0.000216,0.000819,0.001191,0.001409,0.001076,0.001231,0.001622,0.002672,0.044687,0.013902,0.309997,0.041958,0.019239,0.309593,0.006533,0.056455,2.436804,0.826705,0.484835,0.497318,0.513979,0.413729,0.306187,0.224568,0.213279,0.209554,0.204330,0.202748,0.192013,0.001149,0.002623,0.001619,0.000627,0.002365,0.000219,0.001048,0.001464,0.001783,0.001222,0.001673,0.002139,0.002415,Thrush_clean
0.186450,0.003627,3.095219,0.291500,0.245783,1.176627,0.003934,0.212386,-33.286539,0.627178,1.331032,0.067995,0.153750,0.003436,-0.001199,-0.007576,-0.194485,-0.023900,-0.094806,-0.082029,0.054706,0.010565,0.005115,0.010263,0.005918,0.005939,0.003996,0.005824,0.001056,0.002589,0.003308,0.005455,0.005641,0.006507,0.020718,0.003360,0.185095,0.021265,0.014542,0.212836,0.002152,0.034035,0.660774,0.393253,0.264381,0.215828,0.216387,0.191930,0.174264,0.159185,0.146646,0.140832,0.123338,0.115803,0.107692,0.007315,0.004018,0.006469,0.004355,0.004251,0.002779,0.003734,0.000929,0.001895,0.002508,0.003880,0.004180,0.003119,Thrush_clean
0.184148,0.004640,3.105303,0.260318,0.219280,1.229125,0.004277,0.206422,-31.094920,0.927354,1.256149,0.201963,0.173246,-0.022060,-0.159523,0.023233,-0.089389,0.054734,-0.000464,0.113095,0.036541,0.013612,0.004280,0.014618,0.009542,0.013791,0.004585,0.012558,0.001644,0.002140,0.003300,0.006989,0.004887,0.010489,0.020533,0.003851,0.156210,0.021605,0.013336,0.221665,0.002329,0.032685,0.686327,0.390581,0.280681,0.221960,0.224446,0.188579,0.167246,0.147358,0.139484,0.139721,0.120611,0.109057,0.106751,0.010637,0.004207,0.009666,0.007692,0.007707,0.003400,0.006533,0.001588,0.001802,0.002469,0.005019,0.004473,0.004557,Thrush_clean
0.163536,0.002921,3.011007,0.242498,0.212410,1.141456,0.004814,0.218656,-32.428055,0.679775,0.845842,-0.072156,0.255068,0.039258,0.048411,0.141186,0.169307,-0.026018,0.138202,0.085834,0.009233,0.012576,0.002758,0.032069,0.008648,0.028588,0.004178,0.030766,0.001416,0.003504,0.009136,0.018030,0.003410,0.017698,0.029298,0.002581,0.260993,0.020612,0.026158,0.282790,0.003098,0.045159,0.548786,0.404003,0.272128,0.219293,0.224205,0.205874,0.170678,0.143999,0.154368,0.143012,0.127910,0.122474,0.121083,0.009526,0.002319,0.021565,0.006808,0.020878,0.003059,0.022020,0.001015,0.002808,0.006587,0.012478,0.002441,0.008731,Thrush_clean
0.119823,0.012676,2.984314,0.158518,0.143603,0.708082,0.006937,0.161567,-31.080069,0.480781,1.164527,0.205747,0.392761,0.141788,-0.121928,0.190843,-0.147248,0.128778,0.006722,0.023897,0.039208,0.015829,0.006816,0.023950,0.009663,0.035889,0.005218,0.023999,0.001685,0.004038,0.013486,0.019806,0.004502,0.018176,0.025955,0.010408,0.278151,0.019059,0.015880,0.224209,0.003830,0.033165,0.667626,0.468208,0.278529,0.295816,0.301501,0.254122,0.196568,0.203145,0.204912,0.177106,0.140242,0.130319,0.133423,0.010592,0.004257,0.014829,0.006302,0.024270,0.003764,0.015530,0.001553,0.003057,0.008955,0.011455,0.003771,0.007908,Thrush_clean
