@RELATION svmx0.1x1.0x0.1x0.1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Goldfinch_clean,Thrush_clean}

@DATA
0.174831,0.010511,3.061072,0.205954,0.124091,0.520677,0.005180,0.195732,-32.654356,-0.266019,0.572402,-0.080222,0.422955,-0.117881,0.163765,-0.013083,0.192191,-0.059471,0.056332,0.057246,0.054665,0.000975,0.000907,0.017473,0.004942,0.005384,0.000159,0.028211,0.000059,0.000086,0.000359,0.019483,0.000273,0.012529,0.013760,0.006410,0.136122,0.015572,0.020306,0.196783,0.001750,0.003393,1.783710,0.838431,0.432611,0.334209,0.279043,0.234800,0.210031,0.176401,0.141061,0.146921,0.122099,0.127958,0.112421,0.001504,0.001010,0.016441,0.004108,0.007000,0.000258,0.034440,0.000093,0.000150,0.000468,0.023770,0.000629,0.011259,Goldfinch_clean
0.065444,0.006561,2.481134,0.118337,0.157436,0.323836,0.030781,0.082194,-32.353231,1.743089,0.967219,0.146214,0.583516,0.106926,0.341074,0.113963,0.208466,0.118008,0.134422,0.115114,0.097570,0.003685,0.000533,0.118481,0.006064,0.088936,0.000707,0.191791,0.000321,0.000511,0.010835,0.089077,0.000607,0.076994,0.059909,0.005571,0.445326,0.054872,0.044816,0.353653,0.023771,0.089060,3.009495,1.001369,0.569882,0.451571,0.319978,0.280482,0.209026,0.212321,0.178696,0.188637,0.159602,0.158550,0.127028,0.004440,0.000742,0.076567,0.007462,0.089169,0.001059,0.144414,0.000659,0.000730,0.013031,0.074677,0.000946,0.037934,Goldfinch_clean
0.205827,0.014643,2.113616,0.228220,0.090831,0.606175,0.008361,0.238900,-34.692583,-1.427039,0.929276,-0.725499,0.569352,-0.444566,0.305960,-0.221376,0.153466,-0.115098,0.089885,-0.062521,0.037430,0.000969,0.000990,0.001263,0.001078,0.000931,0.001083,0.001096,0.000678,0.000985,0.000875,0.000857,0.000776,0.001766,0.033729,0.011989,0.531003,0.031472,0.028607,0.359286,0.005349,0.043091,2.968927,0.869253,0.594321,0.484885,0.383771,0.312438,0.262356,0.233626,0.209473,0.190849,0.172441,0.157820,0.146444,0.001685,0.001559,0.001897,0.001629,0.001369,0.001690,0.001614,0.001068,0.001673,0.001243,0.001382,0.001307,0.001435,Goldfinch_clean
0.135377,0.018886,2.305448,0.180097,0.100682,0.560934,0.014356,0.167032,-35.668015,0.645428,0.626525,-0.007651,0.245798,-0.126725,0.061469,-0.154483,0.035945,-0.106941,0.075374,-0.073598,0.103308,0.031791,0.012217,0.026792,0.020888,0.005381,0.001443,0.004689,0.003941,0.000505,0.002739,0.002892,0.002300,0.021317,0.039697,0.011769,0.435717,0.049009,0.040659,0.355862,0.017999,0.060894,3.843750,0.833355,0.366511,0.269154,0.220020,0.217986,0.192733,0.204520,0.163082,0.147082,0.129065,0.126158,0.119983,0.018490,0.009578,0.018248,0.015939,0.006648,0.001632,0.005804,0.005317,0.000716,0.003876,0.002941,0.003434,0.010410,Goldfinch_clean
0.206484,0.010935,2.288001,0.232470,0.096435,0.698829,0.006549,0.246890,-34.675028,-1.710397,1.132025,-0.771285,0.515018,-0.315965,0.185447,-0.105869,0.064735,-0.049908,0.032898,-0.039194,0.017833,0.000843,0.000774,0.001130,0.000914,0.001143,0.000892,0.001286,0.001002,0.000823,0.000792,0.000881,0.000879,0.001644,0.033166,0.008168,0.426344,0.028555,0.024364,0.339667,0.003941,0.042685,2.624957,0.916193,0.566320,0.420427,0.342016,0.311337,0.293626,0.271661,0.249856,0.233465,0.213523,0.195518,0.177679,0.001341,0.001165,0.001761,0.001363,0.001593,0.001242,0.002178,0.001612,0.001103,0.001141,0.001487,0.001403,0.001353,Goldfinch_clean
0.063601,0.003168,2.858574,0.118918,0.138482,0.426990,0.008831,0.092419,-28.760297,1.617671,-0.223661,0.048949,-0.102044,-0.192507,-0.034029,0.087811,-0.081994,-0.061288,0.187796,0.005680,-0.129720,0.021347,0.006179,0.026595,0.014445,0.030420,0.010617,0.024137,0.004569,0.007294,0.015643,0.015548,0.006635,0.023722,0.033415,0.003313,0.353941,0.037375,0.030864,0.339903,0.005220,0.056900,2.018949,0.853834,0.690003,0.491550,0.457415,0.386003,0.331312,0.343178,0.283725,0.270616,0.245552,0.243810,0.261895,0.015190,0.007196,0.022301,0.014026,0.028116,0.012045,0.023575,0.005950,0.008194,0.015835,0.014439,0.007948,0.013405,Goldfinch_clean
0.170762,0.011270,2.640320,0.206687,0.113942,0.844068,0.007451,0.219580,-33.283258,-0.328413,0.844359,-0.201009,0.358918,-0.236369,0.285282,-0.129848,0.101304,-0.017137,0.129767,-0.113886,0.074454,0.009815,0.001654,0.024020,0.003740,0.008102,0.002526,0.022395,0.000786,0.003617,0.007150,0.012673,0.003897,0.013982,0.044138,0.010560,0.411697,0.039651,0.026139,0.395352,0.004339,0.061303,3.153921,1.229701,0.588104,0.564569,0.412077,0.315453,0.311776,0.319870,0.296201,0.246416,0.219944,0.194628,0.185706,0.008890,0.002230,0.023414,0.003829,0.009051,0.002958,0.031183,0.001180,0.005748,0.006501,0.011736,0.004034,0.011646,Goldfinch_clean
0.175000,0.014324,2.300440,0.199888,0.100585,0.643553,0.007624,0.208669,-32.199879,-0.336061,0.701414,-0.684186,0.141552,-0.322753,0.108333,-0.112585,-0.101428,0.039989,-0.156400,0.133607,-0.036877,0.006776,0.005906,0.003459,0.003494,0.004172,0.006288,0.003088,0.002532,0.002187,0.005049,0.007194,0.006040,0.006523,0.045105,0.010791,0.408638,0.040370,0.027689,0.368519,0.003705,0.061940,3.194903,1.173175,0.853182,0.542775,0.510967,0.350680,0.329567,0.306814,0.333060,0.262713,0.254289,0.228037,0.180227,0.009986,0.009550,0.005267,0.004620,0.004350,0.008882,0.004045,0.003566,0.002442,0.005610,0.007951,0.007554,0.004753,Goldfinch_clean
0.187335,0.010804,2.564480,0.210337,0.111485,0.690875,0.007807,0.222818,-33.067579,-0.174320,0.948545,-0.262734,0.099695,0.035210,0.056066,-0.025292,0.144013,-0.131408,0.111262,-0.098909,0.058654,0.021909,0.003827,0.012745,0.004259,0.003729,0.002375,0.003101,0.000873,0.002371,0.007292,0.015969,0.006211,0.010258,0.049185,0.010103,0.606364,0.043497,0.027259,0.343651,0.004374,0.053679,3.042426,1.305234,0.643412,0.458420,0.361296,0.338390,0.395015,0.360118,0.338935,0.292310,0.259414,0.213598,0.184242,0.019047,0.006429,0.013708,0.005870,0.003758,0.002214,0.003714,0.001436,0.003054,0.008623,0.014387,0.007336,0.006231,Goldfinch_clean
0.174222,0.008887,2.524079,0.220714,0.152252,0.890172,0.011344,0.227049,-32.446112,-0.847742,-0.069799,0.086319,0.446158,0.004515,-0.073116,0.170388,0.015984,-0.074789,0.153267,0.036848,0.009352,0.003167,0.002630,0.024010,0.004579,0.013600,0.001764,0.017252,0.001215,0.002143,0.003073,0.010974,0.000848,0.012276,0.067681,0.009336,0.574868,0.048374,0.038080,0.450795,0.006509,0.086243,2.804215,1.240808,0.883256,0.618393,0.481446,0.428253,0.358300,0.398733,0.341316,0.343647,0.273054,0.273195,0.228755,0.004200,0.003611,0.030740,0.008917,0.022758,0.003563,0.026657,0.001835,0.003040,0.005885,0.014029,0.001247,0.013879,Goldfinch_clean
0.226715,0.010776,2.408175,0.251402,0.097911,0.710659,0.009285,0.269624,-34.746167,-1.293535,0.767098,-0.508446,0.291779,-0.207694,0.104850,-0.029159,-0.030617,0.036079,-0.033542,0.003529,-0.001350,0.002441,0.000903,0.000729,0.001500,0.000844,0.000552,0.001120,0.001356,0.000944,0.000742,0.000865,0.002494,0.002253,0.045548,0.010923,0.508486,0.041614,0.028634,0.376049,0.006731,0.060982,2.473935,0.959944,0.532359,0.405377,0.321073,0.253606,0.282941,0.285691,0.267577,0.246528,0.220413,0.201150,0.204108,0.003818,0.001303,0.001302,0.002978,0.001335,0.000848,0.001884,0.002218,0.001614,0.001215,0.001255,0.003544,0.002278,Goldfinch_clean
0.090313,0.011677,2.653322,0.140158,0.138142,0.384002,0.010571,0.105233,-31.958705,1.411704,1.285783,0.196701,0.605233,0.169836,0.292182,0.182650,0.124775,0.054607,0.091728,-0.057333,0.081581,0.048314,0.002396,0.021865,0.006966,0.009296,0.007355,0.039164,0.000501,0.010082,0.029518,0.060333,0.004132,0.037632,0.041167,0.010277,0.344739,0.043593,0.037946,0.286746,0.008254,0.053369,2.902476,1.133498,0.659061,0.503759,0.337175,0.287052,0.259606,0.249259,0.223196,0.206432,0.200066,0.172146,0.170439,0.030059,0.003679,0.016632,0.007127,0.007518,0.004900,0.038732,0.000825,0.005868,0.014870,0.023629,0.005163,0.017726,Goldfinch_clean
0.201373,0.013008,2.214542,0.239144,0.121114,0.646837,0.009182,0.239560,-34.302731,-1.277254,0.789026,-0.851441,0.536778,-0.370536,0.321548,-0.221848,0.109766,-0.116994,0.066925,-0.075546,0.082628,0.002270,0.001087,0.001917,0.003138,0.000763,0.000614,0.000566,0.000581,0.000561,0.000844,0.000952,0.001555,0.002494,0.044483,0.012971,0.492742,0.052842,0.030909,0.464662,0.005514,0.068050,3.214952,1.118954,0.785559,0.616548,0.425703,0.345517,0.294853,0.248707,0.232548,0.185483,0.169070,0.168583,0.159906,0.003705,0.001675,0.002650,0.004848,0.001100,0.000981,0.000913,0.001154,0.000935,0.001317,0.001396,0.002457,0.002343,Goldfinch_clean
