@RELATION svmx0.1x1.0x0.05x0.1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Goldfinch_clean,Thrush_clean}

@DATA
0.174872,0.010515,3.060789,0.205726,0.122978,0.516418,0.003680,0.195744,-32.708829,-0.255902,0.567566,-0.083410,0.426670,-0.116016,0.166651,-0.017441,0.195106,-0.054929,0.060490,0.058225,0.050986,0.000976,0.000940,0.016743,0.004965,0.005333,0.000140,0.027838,0.000060,0.000073,0.000321,0.019515,0.000241,0.012417,0.013985,0.006776,0.148764,0.016298,0.021860,0.198892,0.001200,0.003330,2.071387,0.881976,0.455476,0.334275,0.295128,0.248782,0.215034,0.177917,0.152970,0.144332,0.132583,0.123652,0.121997,0.001595,0.001087,0.015994,0.004440,0.007487,0.000290,0.038154,0.000124,0.000140,0.000450,0.023419,0.000542,0.011521,Goldfinch_clean
0.065389,0.006528,2.488023,0.121089,0.159887,0.331091,0.020594,0.083610,-32.344866,1.736951,0.961598,0.151285,0.583737,0.106643,0.344095,0.109282,0.213335,0.114435,0.140064,0.111582,0.102806,0.003814,0.000579,0.117789,0.006816,0.092009,0.000761,0.188968,0.000274,0.000542,0.010943,0.087596,0.000564,0.076009,0.059382,0.005581,0.455693,0.055931,0.046211,0.361249,0.016905,0.091555,3.322081,1.039129,0.583438,0.462516,0.345862,0.291706,0.221654,0.218791,0.193995,0.195094,0.172549,0.162671,0.138572,0.005140,0.000948,0.078793,0.009034,0.090686,0.001284,0.144429,0.000603,0.000838,0.013766,0.073791,0.000916,0.037533,Goldfinch_clean
0.205810,0.014637,2.106081,0.229213,0.090975,0.616725,0.004670,0.240037,-34.802649,-1.423454,0.955161,-0.740854,0.581653,-0.444600,0.308293,-0.221677,0.151936,-0.112368,0.087761,-0.061604,0.036260,0.000943,0.000986,0.001310,0.001046,0.000982,0.001037,0.001142,0.000659,0.000908,0.000865,0.000870,0.000791,0.001746,0.033432,0.011974,0.546649,0.032546,0.031052,0.367466,0.004290,0.044345,3.334076,0.926607,0.640750,0.519062,0.406757,0.332256,0.278890,0.247362,0.219164,0.199702,0.178157,0.165646,0.153054,0.001764,0.001633,0.002212,0.001662,0.001572,0.001569,0.001947,0.001071,0.001595,0.001322,0.001546,0.001422,0.001511,Goldfinch_clean
0.135197,0.018877,2.317326,0.181104,0.104603,0.566523,0.008473,0.166509,-35.414923,0.634378,0.610650,-0.011260,0.240775,-0.129062,0.060224,-0.162598,0.039095,-0.113860,0.077432,-0.079143,0.103990,0.031630,0.012422,0.026857,0.020584,0.005650,0.001447,0.004797,0.004267,0.000468,0.002787,0.002734,0.002230,0.021583,0.039692,0.012182,0.433122,0.050333,0.044836,0.359705,0.012564,0.061613,3.958189,0.851170,0.353319,0.282341,0.240955,0.234773,0.209537,0.210355,0.176302,0.160601,0.140779,0.133377,0.123691,0.018550,0.010164,0.019639,0.016383,0.007183,0.001743,0.006554,0.005716,0.000751,0.004080,0.002922,0.003384,0.010814,Goldfinch_clean
0.206499,0.010933,2.293835,0.231911,0.095576,0.700403,0.003854,0.246748,-34.739840,-1.723655,1.140856,-0.779157,0.519578,-0.323374,0.193888,-0.112052,0.068936,-0.050906,0.032416,-0.037995,0.017310,0.000835,0.000789,0.001113,0.000953,0.001110,0.000918,0.001356,0.000986,0.000834,0.000788,0.000895,0.000863,0.001664,0.033316,0.008241,0.433530,0.029267,0.025541,0.340655,0.003485,0.043427,2.841473,0.982145,0.597143,0.445603,0.359098,0.323798,0.304064,0.280905,0.256641,0.240785,0.223094,0.203159,0.185675,0.001398,0.001285,0.001842,0.001521,0.001603,0.001381,0.002399,0.001697,0.001206,0.001172,0.001582,0.001461,0.001456,Goldfinch_clean
0.063607,0.003167,2.855939,0.118879,0.138396,0.426279,0.004997,0.092170,-28.755536,1.623254,-0.222167,0.049489,-0.101746,-0.194681,-0.033296,0.088970,-0.085260,-0.062678,0.186967,0.004664,-0.129131,0.021434,0.006310,0.026572,0.014307,0.030198,0.010616,0.024038,0.004544,0.007309,0.015828,0.015601,0.006623,0.023683,0.033643,0.003323,0.363367,0.038282,0.032284,0.343823,0.003588,0.057694,2.050391,0.863591,0.695219,0.499153,0.465935,0.392564,0.334828,0.350559,0.289546,0.276356,0.251638,0.247762,0.267387,0.015673,0.007692,0.022987,0.014374,0.029148,0.012318,0.024180,0.006093,0.008573,0.016543,0.015402,0.008152,0.013563,Goldfinch_clean
0.170785,0.011216,2.621480,0.206839,0.113586,0.850814,0.004475,0.219088,-33.228852,-0.285607,0.875568,-0.232968,0.357163,-0.234193,0.275476,-0.126146,0.098080,-0.018051,0.107869,-0.101364,0.069271,0.009546,0.001787,0.024452,0.003662,0.008811,0.002343,0.022153,0.000810,0.003556,0.006979,0.013757,0.003751,0.013846,0.044820,0.010889,0.443273,0.041033,0.027837,0.412992,0.003422,0.062429,3.096080,1.192871,0.617501,0.566052,0.424714,0.319701,0.324005,0.322443,0.299955,0.248647,0.228851,0.212501,0.192941,0.008287,0.002726,0.025531,0.003971,0.009876,0.002732,0.030835,0.001280,0.005875,0.006527,0.013385,0.004034,0.011640,Goldfinch_clean
0.175489,0.014389,2.328487,0.198500,0.096711,0.641498,0.004810,0.210233,-32.579565,-0.356041,0.739790,-0.735895,0.170465,-0.353053,0.112659,-0.113314,-0.112041,0.048246,-0.165326,0.123167,-0.049005,0.006295,0.005544,0.003009,0.003339,0.004029,0.005673,0.002862,0.002686,0.002227,0.004644,0.006761,0.006569,0.006160,0.044946,0.011379,0.426030,0.041207,0.030833,0.368835,0.003363,0.062556,3.503820,1.297205,0.958264,0.607061,0.565631,0.408128,0.359358,0.314946,0.356050,0.284541,0.288387,0.243661,0.187392,0.009510,0.009341,0.004817,0.004600,0.004462,0.008157,0.003682,0.004080,0.002664,0.005569,0.008335,0.010298,0.004854,Goldfinch_clean
0.187680,0.010933,2.585062,0.211326,0.111043,0.672732,0.005439,0.222688,-33.265465,-0.249111,0.986912,-0.293552,0.100456,0.061962,0.045801,-0.013782,0.142858,-0.130786,0.118775,-0.103324,0.059362,0.021148,0.003391,0.011666,0.004092,0.004040,0.002318,0.003330,0.000856,0.002402,0.007326,0.015491,0.005786,0.010124,0.050263,0.009716,0.591144,0.046060,0.028448,0.350824,0.004505,0.056648,3.324357,1.386060,0.649665,0.451645,0.362427,0.347434,0.380184,0.366954,0.353551,0.303922,0.262418,0.203918,0.189382,0.020689,0.006168,0.013399,0.006018,0.004888,0.002600,0.004486,0.001462,0.003775,0.008973,0.014998,0.007929,0.006659,Goldfinch_clean
0.174154,0.008878,2.560546,0.220398,0.151023,0.875833,0.009478,0.227102,-32.617495,-0.875798,-0.094436,0.057106,0.446101,0.005886,-0.068705,0.176998,0.005406,-0.073922,0.153877,0.036881,0.009873,0.003246,0.002544,0.022461,0.005181,0.013122,0.001867,0.016894,0.001557,0.001793,0.002700,0.011099,0.000879,0.012173,0.067584,0.009162,0.568556,0.050029,0.040564,0.458726,0.011978,0.089624,2.840934,1.300307,0.908813,0.632841,0.521582,0.447733,0.389907,0.395555,0.359374,0.354799,0.289990,0.284257,0.235431,0.004482,0.003589,0.032985,0.010814,0.023279,0.003834,0.029361,0.003125,0.002678,0.005646,0.015610,0.001436,0.014967,Goldfinch_clean
