@RELATION gradientboostingx0.5x1.0x0.05x0.05
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Wood_Thrush_clean,Sparrow_clean,American_Goldfinch_clean,Scarlet_Tanager_clean,Robin_clean}

@DATA
0.182383,0.004147,2.667896,0.213824,0.118326,0.882056,0.009455,0.222399,-36.113390,-2.030587,1.331677,-0.748192,0.253587,-0.092355,-0.056884,0.011668,0.025932,-0.065147,0.068875,-0.058268,0.017159,0.002501,0.002265,0.002102,0.001998,0.002977,0.002522,0.001905,0.000900,0.001742,0.003806,0.002452,0.002107,0.003328,0.043896,0.006650,0.518323,0.040899,0.031444,0.350525,0.009105,0.060104,3.783185,1.167404,0.640203,0.489621,0.452659,0.412447,0.373386,0.282120,0.218008,0.181262,0.156598,0.152351,0.137761,0.003374,0.003536,0.003081,0.003080,0.004205,0.003400,0.002720,0.001120,0.002683,0.005616,0.003119,0.003323,0.003178,Wood_Thrush_clean
0.071502,0.012725,2.901049,0.132903,0.159638,0.260909,0.019519,0.085283,-29.767727,1.146660,0.837165,0.318914,0.331922,0.199806,0.134019,0.093897,0.141349,0.134561,0.107251,0.097240,-0.015588,0.003320,0.001217,0.063538,0.002335,0.045682,0.002873,0.051237,0.001412,0.001250,0.007307,0.022145,0.001636,0.030242,0.035920,0.014523,0.295274,0.040536,0.028926,0.285555,0.016275,0.054983,2.409246,0.660968,0.422147,0.406254,0.398688,0.316356,0.275309,0.263408,0.234075,0.231664,0.208481,0.186496,0.182606,0.003889,0.002701,0.038427,0.003657,0.028263,0.005707,0.035739,0.002848,0.001994,0.007786,0.017597,0.002843,0.009918,Wood_Thrush_clean
0.136047,0.029246,2.999566,0.180472,0.137025,0.513345,0.021789,0.158372,-30.984016,-1.988738,1.052615,-0.240344,-0.150337,0.303178,-0.283582,0.195720,-0.103829,0.085923,-0.064404,0.070936,-0.078699,0.001928,0.003510,0.006745,0.003254,0.004181,0.004200,0.010167,0.002220,0.002025,0.004655,0.002860,0.005435,0.009450,0.057188,0.039173,0.329738,0.053910,0.035921,0.422673,0.019373,0.081655,3.430212,1.071726,0.597940,0.562051,0.534113,0.436220,0.389580,0.371986,0.329931,0.285011,0.241831,0.207364,0.194357,0.003824,0.008603,0.010267,0.005145,0.006207,0.008069,0.014026,0.004051,0.005560,0.005930,0.004631,0.013488,0.009180,Wood_Thrush_clean
0.175202,0.016858,2.807184,0.213377,0.124769,0.515711,0.019190,0.205468,-32.695590,-1.627377,0.971261,-0.531919,0.227874,-0.085825,0.017683,-0.020803,0.015613,-0.016162,0.042207,-0.039593,0.040984,0.004960,0.001338,0.004572,0.002053,0.002731,0.000635,0.003707,0.000573,0.002149,0.003376,0.003069,0.001402,0.005706,0.063521,0.018064,0.379035,0.057959,0.034095,0.456210,0.019221,0.085927,3.079369,1.016110,0.570637,0.484101,0.452244,0.392428,0.324507,0.267054,0.238870,0.217366,0.185128,0.172124,0.186962,0.010746,0.003216,0.004945,0.002290,0.003499,0.001168,0.007551,0.001236,0.003665,0.006029,0.004718,0.002807,0.006267,Wood_Thrush_clean
0.080215,0.006966,2.918716,0.134356,0.150923,0.372393,0.020957,0.097541,-30.958705,2.267517,0.920482,0.238394,0.066594,0.126870,-0.173199,-0.012103,-0.113813,-0.015630,-0.049508,0.055001,0.028943,0.029021,0.000982,0.061776,0.019075,0.030146,0.017303,0.019009,0.000945,0.006322,0.005808,0.020136,0.001517,0.030148,0.061095,0.007407,0.363619,0.062354,0.038789,0.419239,0.017373,0.091789,3.364286,1.226677,0.749381,0.500505,0.506030,0.419261,0.318601,0.304410,0.301522,0.260523,0.238611,0.223420,0.206152,0.035487,0.001587,0.044225,0.027033,0.031730,0.024362,0.019915,0.001550,0.009017,0.006561,0.020900,0.002620,0.014140,Wood_Thrush_clean
0.168951,0.038330,2.811831,0.205350,0.130400,0.494434,0.020812,0.189322,-31.980586,-2.081115,1.057882,-0.475887,0.087142,0.078792,-0.128813,0.105799,-0.075122,0.053863,-0.044990,0.038226,-0.022911,0.001527,0.002493,0.004565,0.001329,0.002482,0.001272,0.000771,0.001858,0.002922,0.000826,0.002414,0.003061,0.004837,0.062924,0.045503,0.504290,0.049843,0.034247,0.393667,0.021130,0.076281,3.928478,0.918281,0.623571,0.665440,0.629253,0.494777,0.397121,0.379619,0.356357,0.284099,0.210409,0.197086,0.201261,0.003338,0.005549,0.011683,0.003101,0.006241,0.002075,0.001512,0.003016,0.005866,0.001548,0.005205,0.007193,0.006264,Wood_Thrush_clean
0.171753,0.037151,2.835321,0.207558,0.130325,0.519817,0.022151,0.193808,-32.731494,-2.133615,1.031168,-0.438449,0.033059,0.113041,-0.148381,0.104787,-0.065120,0.039109,-0.027438,0.025725,-0.010549,0.002413,0.002099,0.003564,0.001680,0.002517,0.001152,0.000783,0.002321,0.003340,0.001218,0.001965,0.002411,0.004840,0.063710,0.049000,0.498045,0.051328,0.031148,0.402077,0.022510,0.079903,4.130049,0.990585,0.641472,0.679217,0.645823,0.502364,0.388305,0.374870,0.354522,0.284863,0.216554,0.202891,0.206146,0.005007,0.004764,0.010085,0.003382,0.006754,0.001957,0.001552,0.005183,0.006773,0.002138,0.004595,0.005382,0.006570,Wood_Thrush_clean
0.180317,0.029562,2.813065,0.217932,0.135015,0.653209,0.021835,0.208065,-32.936505,-1.820046,0.986646,-0.466043,0.054006,-0.004695,-0.144936,0.041619,-0.064803,0.036204,-0.014167,0.059117,-0.013311,0.001354,0.002876,0.002193,0.001690,0.002263,0.001787,0.003441,0.002070,0.002984,0.001376,0.002161,0.003108,0.005475,0.069025,0.037917,0.487660,0.059642,0.029839,0.442971,0.022562,0.084154,3.753199,1.118347,0.631468,0.613252,0.562109,0.490707,0.388988,0.348945,0.271604,0.214276,0.206765,0.202704,0.188587,0.002522,0.005542,0.004992,0.002926,0.005702,0.004979,0.010078,0.003963,0.006861,0.002576,0.004993,0.008005,0.006901,Wood_Thrush_clean
0.035247,0.016568,2.929392,0.095815,0.157021,0.114453,0.031027,0.042069,-29.197734,3.017914,1.041380,0.483670,0.117582,0.050284,-0.267536,-0.172147,-0.230576,-0.165122,-0.180747,-0.133548,-0.122700,0.040472,0.000857,0.033641,0.016850,0.021568,0.015715,0.033380,0.000518,0.005498,0.032279,0.036936,0.001119,0.032324,0.014246,0.013567,0.270620,0.037635,0.045501,0.110350,0.021074,0.018017,2.101872,0.964170,0.497403,0.342079,0.323137,0.291654,0.267040,0.244571,0.224865,0.203399,0.190590,0.179717,0.164842,0.035368,0.001581,0.029547,0.018637,0.020414,0.017953,0.027187,0.001182,0.007392,0.028846,0.030319,0.001729,0.010302,Wood_Thrush_clean
0.078358,0.013482,2.860360,0.126362,0.140731,0.328158,0.018456,0.097078,-30.450849,1.485525,0.635091,-0.436486,-0.198848,-0.184481,-0.209449,0.054333,-0.198609,-0.050320,-0.189978,0.044930,-0.008596,0.026452,0.004706,0.048631,0.011896,0.016056,0.023655,0.011501,0.001085,0.007913,0.004117,0.007482,0.004565,0.024458,0.035371,0.016456,0.375958,0.039532,0.037256,0.308991,0.014683,0.057082,3.371748,1.126521,0.756776,0.578247,0.597226,0.454885,0.372433,0.295932,0.264699,0.228776,0.229367,0.222788,0.165423,0.031935,0.007221,0.039595,0.018014,0.023084,0.036739,0.013467,0.002256,0.009467,0.004702,0.010226,0.007646,0.010438,Wood_Thrush_clean
