@RELATION svmx0.5x0.5x0.01x0.05
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Goldfinch_clean,Thrush_clean}

@DATA
0.173750,0.010539,2.943661,0.208157,0.130075,0.524457,0.003191,0.194617,-33.049520,-0.182705,0.549152,-0.088325,0.364339,-0.089604,0.128966,-0.018867,0.171938,-0.059896,0.063284,0.038032,0.053425,0.001258,0.001408,0.034297,0.007075,0.001618,0.000364,0.014175,0.000089,0.000262,0.000304,0.001109,0.000136,0.011730,0.016066,0.007442,0.160871,0.021420,0.025685,0.203787,0.001345,0.006109,2.315286,0.991654,0.412955,0.296569,0.257140,0.195694,0.172269,0.153738,0.135313,0.124367,0.116822,0.106699,0.100640,0.002113,0.001612,0.034815,0.006343,0.002243,0.000655,0.015023,0.000210,0.000546,0.000482,0.001733,0.000213,0.009690,Goldfinch_clean
0.064639,0.006593,2.600128,0.134084,0.176552,0.311217,0.015666,0.079335,-32.719250,1.758006,0.801750,0.221899,0.479324,0.133173,0.283919,0.106822,0.174145,0.097294,0.117160,0.089417,0.085341,0.001357,0.000959,0.148875,0.000626,0.010854,0.000520,0.153528,0.000599,0.000523,0.001162,0.023410,0.000411,0.064722,0.055075,0.005952,0.423706,0.053741,0.043083,0.304981,0.015623,0.076225,3.271414,0.899427,0.461471,0.331200,0.258913,0.204835,0.177185,0.157994,0.151118,0.139277,0.130264,0.117728,0.107334,0.002223,0.001655,0.110129,0.001062,0.013368,0.000964,0.092547,0.001471,0.000939,0.001720,0.024885,0.000693,0.025728,Goldfinch_clean
0.206156,0.014810,2.251348,0.237454,0.115667,0.525101,0.004231,0.230421,-34.936650,-1.134220,0.698601,-0.507158,0.387031,-0.286824,0.202840,-0.144101,0.105804,-0.076490,0.067814,-0.042725,0.033839,0.001219,0.001573,0.002239,0.001547,0.001452,0.001490,0.001809,0.001070,0.001516,0.001436,0.001252,0.001206,0.002931,0.038871,0.015558,0.705273,0.038420,0.036900,0.372308,0.003529,0.050592,3.341164,0.815976,0.476963,0.374199,0.294560,0.249839,0.212126,0.187723,0.168759,0.158247,0.144382,0.134487,0.122234,0.002511,0.003018,0.004417,0.002711,0.002629,0.002564,0.003711,0.002182,0.003020,0.002666,0.002405,0.002375,0.002721,Goldfinch_clean
0.137833,0.018969,2.441999,0.187586,0.126738,0.442819,0.006018,0.159357,-34.810202,0.579012,0.552456,0.011381,0.195629,-0.097519,0.031335,-0.121706,0.014296,-0.076242,0.050975,-0.038722,0.076843,0.005292,0.000981,0.041250,0.007721,0.022808,0.002462,0.011638,0.000072,0.004110,0.001044,0.004432,0.000302,0.021289,0.037185,0.014101,0.476730,0.047162,0.044253,0.336117,0.008418,0.052785,3.246768,0.754456,0.307543,0.224700,0.187695,0.176674,0.154113,0.147764,0.124563,0.117663,0.100521,0.097123,0.087689,0.007372,0.001828,0.018332,0.007650,0.017299,0.003400,0.009993,0.000177,0.003766,0.001418,0.003805,0.000764,0.009285,Goldfinch_clean
0.206565,0.010925,2.410895,0.236819,0.113890,0.589687,0.003579,0.236554,-34.746411,-1.366385,0.847948,-0.559259,0.363497,-0.218980,0.133000,-0.069499,0.043333,-0.024941,0.018974,-0.018072,0.012879,0.001217,0.001294,0.001620,0.001393,0.001775,0.001361,0.001864,0.001830,0.001309,0.001304,0.001510,0.001224,0.002874,0.038244,0.010872,0.588931,0.034758,0.030641,0.365785,0.003108,0.047269,2.669782,0.885882,0.489924,0.370965,0.294776,0.261298,0.243691,0.226783,0.208352,0.195824,0.184258,0.169416,0.154209,0.002317,0.002380,0.002767,0.002532,0.003061,0.002406,0.003324,0.003743,0.002203,0.002206,0.002864,0.002279,0.002526,Goldfinch_clean
0.063567,0.003176,2.976425,0.122319,0.149295,0.403767,0.003300,0.088531,-29.864243,1.685395,-0.217236,0.083439,-0.077662,-0.171532,-0.039832,0.094324,-0.065841,-0.046057,0.162521,0.013738,-0.113913,0.009414,0.005245,0.041638,0.011246,0.023958,0.010622,0.031013,0.003393,0.006987,0.012911,0.023847,0.004651,0.025476,0.033227,0.003445,0.279597,0.038264,0.035538,0.304781,0.002378,0.052801,2.072839,0.824160,0.631352,0.463023,0.423201,0.367248,0.316280,0.320542,0.279154,0.264211,0.245353,0.235336,0.247168,0.010372,0.006778,0.028117,0.012297,0.020884,0.012109,0.026577,0.004905,0.008205,0.013110,0.019565,0.005504,0.011925,Goldfinch_clean
0.167479,0.011433,2.675519,0.208684,0.127545,0.688059,0.003620,0.204803,-33.600519,0.029823,0.648141,-0.121801,0.225317,-0.150409,0.215551,-0.082436,0.069741,-0.011201,0.084930,-0.074452,0.057559,0.006113,0.001537,0.027287,0.003155,0.004901,0.003008,0.021149,0.000619,0.001243,0.006038,0.011940,0.002146,0.012829,0.047592,0.010824,0.525005,0.045621,0.031878,0.387641,0.002947,0.065279,2.734719,0.972108,0.526697,0.423457,0.343333,0.274639,0.291118,0.256155,0.229894,0.198222,0.187784,0.163431,0.160603,0.005258,0.002403,0.021010,0.004271,0.005156,0.003672,0.020442,0.001054,0.001634,0.007015,0.010408,0.002921,0.008196,Goldfinch_clean
0.170936,0.015000,2.452629,0.202035,0.116574,0.509286,0.003472,0.195371,-32.610406,-0.091893,0.445662,-0.475221,0.036369,-0.246963,0.079622,-0.108803,-0.073659,0.013410,-0.101020,0.087583,-0.028518,0.008435,0.003165,0.006932,0.004124,0.005986,0.013145,0.006313,0.002131,0.004023,0.004954,0.008177,0.002421,0.008681,0.048303,0.014646,0.508648,0.045554,0.036712,0.362948,0.003282,0.064290,3.059849,1.189544,0.715338,0.499447,0.429376,0.324977,0.291599,0.274252,0.273151,0.235341,0.223383,0.188741,0.163808,0.011284,0.005053,0.008747,0.005306,0.008500,0.015913,0.008298,0.003512,0.005784,0.006288,0.008154,0.003686,0.005897,Goldfinch_clean
0.182359,0.010439,2.716272,0.213323,0.123962,0.588885,0.003727,0.209191,-33.905180,0.003495,0.799556,-0.215457,0.094989,0.044248,0.056797,0.001224,0.103632,-0.092174,0.094449,-0.066574,0.040677,0.008568,0.001143,0.028347,0.002277,0.006973,0.003064,0.006348,0.000841,0.002303,0.003101,0.014373,0.001445,0.011098,0.045341,0.009799,0.534865,0.043520,0.035601,0.334348,0.002930,0.051078,3.674442,1.094200,0.565756,0.416213,0.339051,0.302890,0.324666,0.309735,0.295680,0.252205,0.204954,0.170347,0.158364,0.008821,0.001838,0.017380,0.003068,0.007567,0.003733,0.006492,0.001285,0.003502,0.003904,0.014367,0.002160,0.005783,Goldfinch_clean
0.172091,0.008916,2.825909,0.222370,0.164394,0.791142,0.004424,0.221930,-33.468598,-0.596919,-0.174548,0.125751,0.357386,0.017071,-0.059341,0.177888,-0.008527,-0.035957,0.105547,0.043551,0.001786,0.004559,0.004834,0.023644,0.003076,0.007252,0.003189,0.024666,0.003281,0.002217,0.003637,0.006022,0.001389,0.015378,0.075862,0.009680,0.454390,0.058431,0.043918,0.472076,0.004667,0.112695,3.034831,1.204478,0.810506,0.588856,0.446309,0.392764,0.339309,0.328930,0.297611,0.287489,0.233748,0.231666,0.199349,0.007873,0.008236,0.031026,0.005949,0.013148,0.006257,0.036733,0.005354,0.003265,0.005372,0.010250,0.002459,0.015378,Goldfinch_clean
