@RELATION svmx1.0x1.0x0.05x0.05
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Goldfinch_clean,Thrush_clean}

@DATA
0.174083,0.010383,2.936981,0.208800,0.129556,0.509681,0.009267,0.194246,-33.203962,-0.268880,0.536544,-0.068990,0.364965,-0.089588,0.122744,-0.011984,0.174548,-0.063103,0.066321,0.039012,0.054695,0.001214,0.001481,0.033340,0.006879,0.001736,0.000343,0.013390,0.000070,0.000256,0.000348,0.000934,0.000143,0.011469,0.019815,0.008460,0.166481,0.023206,0.027228,0.219805,0.004243,0.007711,2.454963,1.074654,0.443525,0.358066,0.285851,0.209299,0.192166,0.165422,0.147044,0.136698,0.122476,0.110063,0.104700,0.002663,0.001768,0.043299,0.006019,0.002704,0.000749,0.017259,0.000135,0.000753,0.000627,0.001746,0.000236,0.011955,Goldfinch_clean
0.063499,0.006628,2.591476,0.132520,0.177041,0.305397,0.040321,0.076153,-32.587071,1.786512,0.789755,0.237634,0.475914,0.141051,0.285345,0.107973,0.178742,0.099310,0.120427,0.093665,0.086515,0.001462,0.000914,0.142462,0.000686,0.010833,0.000565,0.154209,0.000600,0.000514,0.001256,0.027553,0.000462,0.063974,0.069457,0.007095,0.423647,0.060220,0.044744,0.345009,0.035263,0.090274,3.480172,0.985018,0.488876,0.380201,0.284478,0.225035,0.185592,0.167415,0.157617,0.145372,0.135801,0.125167,0.109494,0.002464,0.001824,0.109817,0.001202,0.013620,0.001128,0.097874,0.001583,0.000905,0.001870,0.025586,0.000909,0.028452,Goldfinch_clean
0.206208,0.014808,2.255134,0.237464,0.115593,0.525807,0.017519,0.229793,-34.971274,-1.129682,0.696221,-0.509596,0.388393,-0.289566,0.201573,-0.141971,0.103903,-0.074464,0.066158,-0.043343,0.032632,0.001265,0.001536,0.002307,0.001562,0.001515,0.001577,0.001896,0.001091,0.001493,0.001410,0.001275,0.001151,0.002998,0.042048,0.017113,0.694841,0.040548,0.036797,0.387509,0.010356,0.053768,3.403313,0.830229,0.499260,0.397082,0.307018,0.261803,0.221203,0.201220,0.179765,0.167827,0.150614,0.143093,0.127017,0.002691,0.003072,0.004776,0.002922,0.003088,0.003134,0.004445,0.002380,0.003267,0.002672,0.002501,0.002369,0.002991,Goldfinch_clean
0.138055,0.018970,2.428665,0.188362,0.128488,0.437890,0.025783,0.157235,-34.772816,0.553661,0.553779,0.006637,0.194999,-0.100191,0.031950,-0.120342,0.014601,-0.074559,0.050243,-0.036741,0.077052,0.005172,0.001212,0.041043,0.007655,0.022136,0.002324,0.011446,0.000090,0.004178,0.001098,0.004569,0.000252,0.021073,0.050351,0.016931,0.490458,0.057089,0.047163,0.377200,0.026463,0.066200,3.767615,0.850499,0.322993,0.255232,0.213286,0.211870,0.182553,0.174180,0.148184,0.130165,0.111371,0.103513,0.094590,0.008811,0.002077,0.025281,0.009542,0.023723,0.003506,0.012015,0.000242,0.004654,0.001571,0.006294,0.000561,0.012115,Goldfinch_clean
0.206580,0.010932,2.406869,0.237272,0.114876,0.593053,0.015526,0.236636,-34.704716,-1.359013,0.844433,-0.556918,0.362996,-0.218723,0.132064,-0.067134,0.041786,-0.023028,0.018254,-0.017865,0.013878,0.001254,0.001278,0.001624,0.001372,0.001785,0.001380,0.001771,0.001784,0.001314,0.001308,0.001455,0.001273,0.002864,0.041420,0.012237,0.614455,0.036718,0.029869,0.374841,0.009016,0.050445,2.746140,0.886719,0.508218,0.383582,0.302788,0.273895,0.260703,0.245752,0.226472,0.212438,0.197822,0.178069,0.161375,0.002533,0.002445,0.003152,0.002665,0.003290,0.002717,0.003309,0.004039,0.002346,0.002297,0.002949,0.002571,0.002606,Goldfinch_clean
0.063577,0.003176,2.979319,0.122205,0.149050,0.402267,0.012454,0.088344,-29.863630,1.685927,-0.213485,0.086431,-0.080463,-0.172748,-0.038618,0.093806,-0.065450,-0.044781,0.162645,0.012419,-0.115247,0.009415,0.005266,0.041665,0.011176,0.024191,0.010602,0.030989,0.003535,0.006992,0.012920,0.023824,0.004600,0.025541,0.038728,0.004120,0.286282,0.041124,0.035886,0.345263,0.008562,0.060670,2.343913,0.910418,0.700600,0.514796,0.472528,0.402690,0.344940,0.353854,0.302482,0.281779,0.263514,0.251868,0.269629,0.011568,0.007776,0.031357,0.013406,0.023324,0.013528,0.029623,0.005869,0.009267,0.014627,0.021732,0.006308,0.013126,Goldfinch_clean
0.167434,0.011292,2.682432,0.207212,0.125893,0.684717,0.016029,0.203723,-33.439812,0.018192,0.645084,-0.091928,0.219959,-0.137189,0.223666,-0.073870,0.057078,0.002545,0.086429,-0.076497,0.069804,0.005708,0.001614,0.026794,0.003232,0.004863,0.003018,0.021709,0.000563,0.001203,0.005836,0.011622,0.001987,0.012882,0.054014,0.013702,0.517520,0.048523,0.031237,0.430621,0.010044,0.072121,3.013408,1.139682,0.547764,0.432252,0.362151,0.288727,0.301151,0.269784,0.254959,0.215249,0.194038,0.162838,0.168299,0.005667,0.002801,0.024884,0.004544,0.005358,0.004289,0.023680,0.001020,0.001628,0.007207,0.011021,0.003222,0.009739,Goldfinch_clean
0.173981,0.015416,2.432827,0.203755,0.115607,0.493237,0.016002,0.197683,-32.383108,-0.100839,0.434810,-0.471514,0.048206,-0.250528,0.098104,-0.116261,-0.066154,0.014979,-0.100953,0.090360,-0.029148,0.008000,0.003014,0.006606,0.004027,0.005879,0.013116,0.006000,0.002363,0.004113,0.005351,0.007742,0.002414,0.008508,0.056531,0.015116,0.509774,0.048889,0.035837,0.376293,0.009065,0.071164,3.232938,1.256609,0.782798,0.492247,0.466016,0.323680,0.300230,0.285402,0.289464,0.243818,0.231623,0.210032,0.171925,0.011890,0.005718,0.008382,0.006468,0.008315,0.018484,0.009896,0.004122,0.006960,0.007824,0.007932,0.003856,0.006778,Goldfinch_clean
0.183203,0.011197,2.731700,0.213800,0.124231,0.597259,0.016541,0.210399,-33.839581,-0.029841,0.782027,-0.228783,0.094234,0.046091,0.050317,0.004511,0.111794,-0.095793,0.100301,-0.071394,0.041374,0.008414,0.001148,0.027666,0.002280,0.006562,0.003260,0.005436,0.000978,0.002313,0.003086,0.013797,0.001464,0.010862,0.063504,0.012021,0.515133,0.056904,0.035099,0.369719,0.010748,0.068369,4.064874,1.424796,0.602515,0.439506,0.357771,0.313629,0.343255,0.321758,0.305240,0.268875,0.224164,0.184208,0.168677,0.010650,0.002098,0.021875,0.003556,0.009395,0.004681,0.006469,0.001812,0.004415,0.004440,0.017411,0.002547,0.007472,Goldfinch_clean
0.170740,0.008726,2.812437,0.222516,0.165888,0.771027,0.022777,0.216951,-33.500497,-0.707637,-0.139630,0.119582,0.335891,0.029170,-0.077883,0.190262,-0.031900,-0.021107,0.090102,0.054520,-0.006274,0.004563,0.004701,0.023702,0.002946,0.006864,0.003491,0.024881,0.003270,0.002084,0.003474,0.005825,0.001389,0.015161,0.078971,0.010681,0.442596,0.059827,0.044032,0.470099,0.019497,0.109862,3.263835,1.314570,0.875347,0.591785,0.446998,0.405266,0.351043,0.333131,0.299794,0.302972,0.242138,0.245344,0.212206,0.008262,0.008610,0.036901,0.006163,0.013723,0.006927,0.042408,0.006739,0.003664,0.006127,0.011884,0.002788,0.017358,Goldfinch_clean
