@RELATION gradientboostingx0.1x0.5x0.01x0.1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Northern_Cardinal_clean,Wood_Thrush_clean,Blue_Jay_clean,Carolina_Wren_clean,Sparrow_clean,American_Goldfinch_clean,Black_Capped_Chickadee_clean,Robin_clean}

@DATA
0.097682,0.008563,2.205513,0.144351,0.129921,0.370075,0.001461,0.110714,-31.078793,-1.212070,0.878099,-0.301438,-0.581611,0.275890,-0.244905,-0.243047,0.147743,-0.213683,0.080895,-0.060627,-0.054767,0.004386,0.003438,0.005845,0.005133,0.003883,0.003299,0.005947,0.005746,0.007084,0.004842,0.006599,0.006056,0.007189,0.029174,0.008315,0.523792,0.027304,0.034145,0.343518,0.001432,0.040671,2.626035,1.217051,0.913159,0.814270,0.843255,0.729011,0.590637,0.432178,0.377263,0.332482,0.298672,0.260820,0.236525,0.005245,0.004156,0.006083,0.005508,0.004270,0.003695,0.006662,0.007065,0.007260,0.005254,0.006695,0.007236,0.004228,Northern_Cardinal_clean
0.065755,0.012239,2.698153,0.106578,0.127465,0.290874,0.001261,0.078582,-28.260348,1.753702,-0.125425,-0.409418,-0.954006,0.311135,-0.634892,-0.139034,-0.200417,-0.063938,0.036941,-0.135001,-0.048151,0.005496,0.007233,0.012910,0.010808,0.007005,0.008715,0.019837,0.020292,0.014482,0.007377,0.007791,0.006841,0.013476,0.030575,0.011135,0.484008,0.036622,0.035602,0.285976,0.000835,0.048863,2.090217,0.878115,0.830939,0.556925,0.512699,0.472563,0.427953,0.358087,0.374731,0.276347,0.247819,0.229716,0.203896,0.005794,0.007491,0.010848,0.009430,0.006984,0.009158,0.018689,0.017858,0.012016,0.007448,0.007846,0.006837,0.006920,Northern_Cardinal_clean
0.107532,0.009929,2.394229,0.161801,0.147938,0.388635,0.001676,0.120162,-33.089277,-2.054763,0.824888,-0.146627,-0.346127,0.265132,-0.349384,0.139285,-0.104368,0.054105,-0.160161,0.250351,-0.300962,0.003667,0.003470,0.002386,0.001975,0.004704,0.002981,0.006655,0.003661,0.002945,0.001240,0.001953,0.003634,0.005373,0.020635,0.014827,0.611467,0.032527,0.030861,0.323230,0.001620,0.042998,3.446463,1.085589,0.798601,0.819394,0.695352,0.419759,0.442497,0.665343,0.672122,0.586271,0.457572,0.283248,0.245270,0.005423,0.005850,0.003229,0.002913,0.007186,0.003778,0.008134,0.005220,0.003899,0.001688,0.002828,0.005511,0.003439,Northern_Cardinal_clean
0.112542,0.010851,2.217955,0.164588,0.140023,0.518432,0.001427,0.134652,-31.664642,-1.891174,0.775477,-0.154879,-0.401000,0.215458,-0.229792,0.000220,-0.054688,-0.013644,-0.049011,0.037046,-0.121157,0.005419,0.005287,0.003914,0.003617,0.003482,0.002570,0.004685,0.004141,0.004483,0.002485,0.002095,0.003588,0.005260,0.027484,0.012849,0.652269,0.035582,0.030979,0.369815,0.001242,0.045222,3.384644,1.114551,0.833205,0.768705,0.640368,0.527404,0.546464,0.584460,0.523484,0.476393,0.412889,0.271021,0.206556,0.007102,0.006628,0.004228,0.004469,0.005415,0.002925,0.006183,0.004844,0.005443,0.003156,0.002630,0.004918,0.003076,Northern_Cardinal_clean
0.140433,0.009469,2.244300,0.198189,0.141534,0.703253,0.001330,0.181261,-33.213792,-2.758024,1.217011,-0.287106,-0.254192,0.233765,-0.142184,-0.005987,0.008535,0.014159,-0.048674,0.049145,-0.054698,0.003031,0.002113,0.001957,0.001450,0.001603,0.001057,0.001197,0.001204,0.002048,0.001485,0.001429,0.002188,0.002614,0.035551,0.009941,0.590085,0.036708,0.029205,0.411334,0.001477,0.066181,2.698376,1.172224,0.764329,0.734000,0.658124,0.549848,0.470321,0.402241,0.353715,0.322219,0.265011,0.224812,0.199129,0.004021,0.002843,0.002634,0.002029,0.002794,0.001752,0.001774,0.001793,0.003129,0.002577,0.002511,0.003585,0.001920,Northern_Cardinal_clean
0.161972,0.007846,2.622351,0.199350,0.130035,0.474594,0.002020,0.178312,-34.144242,-2.258328,0.866870,-0.097446,-0.253766,0.255547,-0.180959,0.031602,0.030124,-0.108028,0.097244,-0.093728,0.034778,0.001977,0.002010,0.002513,0.001807,0.001026,0.004309,0.000662,0.000773,0.000754,0.000714,0.003266,0.001716,0.003740,0.036445,0.008088,0.566459,0.034600,0.026645,0.350274,0.001966,0.044962,2.356991,0.931088,0.608171,0.665879,0.643591,0.543164,0.483957,0.426195,0.384558,0.356533,0.313583,0.260379,0.189187,0.002543,0.002924,0.004055,0.002841,0.001568,0.006224,0.001064,0.001312,0.001315,0.001211,0.005281,0.002544,0.003434,Northern_Cardinal_clean
0.095628,0.011028,2.361333,0.142208,0.135404,0.344847,0.001547,0.108632,-30.827750,-0.630861,0.501948,-0.070098,-0.665229,0.443057,-0.314542,-0.153075,-0.024237,-0.080948,0.033185,-0.118216,-0.050916,0.005016,0.004816,0.004176,0.005907,0.005143,0.003207,0.006737,0.006756,0.006623,0.005792,0.003680,0.004647,0.007870,0.030029,0.009443,0.460235,0.030372,0.033124,0.317003,0.001384,0.042521,2.700824,1.203602,0.886340,0.665233,0.683469,0.615984,0.522141,0.489093,0.504360,0.469376,0.372393,0.299223,0.277447,0.006233,0.005916,0.004788,0.007709,0.006706,0.003761,0.007364,0.007808,0.006221,0.005972,0.003870,0.005944,0.005292,Northern_Cardinal_clean
0.121441,0.014958,2.346943,0.164776,0.129623,0.423133,0.001542,0.133041,-32.250921,-2.456569,0.840043,-0.064640,-0.278277,0.260340,-0.205160,0.141452,-0.084908,-0.004938,0.065675,-0.090638,0.064572,0.002086,0.001630,0.002310,0.002480,0.003010,0.003272,0.002275,0.001384,0.000944,0.001010,0.002229,0.002786,0.004041,0.029053,0.016410,0.636567,0.028543,0.032920,0.303111,0.001273,0.038458,3.115292,1.172835,0.847273,0.671251,0.596239,0.690054,0.707784,0.638892,0.555291,0.460198,0.342542,0.222693,0.174129,0.003412,0.002711,0.003637,0.003629,0.005178,0.005764,0.004162,0.002484,0.001821,0.002079,0.004134,0.004746,0.002834,Northern_Cardinal_clean
0.149154,0.007315,1.985552,0.178289,0.115586,0.574077,0.001355,0.169431,-33.019997,-3.302277,0.925457,0.254521,-0.450794,0.082880,0.069642,-0.033434,0.023684,-0.071524,0.115553,-0.129501,0.104153,0.001956,0.000872,0.001435,0.005827,0.001337,0.000399,0.000399,0.001475,0.001091,0.000605,0.000769,0.001323,0.003155,0.017557,0.006987,0.555778,0.023410,0.033154,0.368798,0.001425,0.019886,2.257448,1.222001,0.607068,0.716843,0.625744,0.508265,0.421875,0.320045,0.287217,0.340839,0.326353,0.269854,0.226323,0.002659,0.001259,0.001977,0.006805,0.002052,0.000895,0.000828,0.002712,0.001741,0.000743,0.001024,0.002044,0.002333,Northern_Cardinal_clean
0.091084,0.009445,2.261923,0.146148,0.141622,0.461073,0.001474,0.122770,-31.214213,-0.331885,0.744512,0.237083,-0.541250,0.240814,-0.347577,0.047394,0.024426,-0.153775,0.241070,-0.181773,0.170303,0.015912,0.011349,0.015680,0.013585,0.008115,0.008843,0.009628,0.006394,0.005509,0.004180,0.005671,0.008995,0.012114,0.031248,0.010351,0.628740,0.037853,0.040038,0.345141,0.001476,0.062754,3.227831,0.987774,0.820547,0.768364,0.736162,0.615357,0.501388,0.397796,0.378003,0.307857,0.257586,0.248776,0.229366,0.013972,0.012133,0.013791,0.014982,0.009348,0.010498,0.009887,0.007239,0.006133,0.004832,0.006460,0.010644,0.005948,Northern_Cardinal_clean
