@RELATION gradientboostingx0.1x1x0.01x0.1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Northern_Cardinal_clean,Wood_Thrush_clean,Blue_Jay_clean,Carolina_Wren_clean,Sparrow_clean,American_Goldfinch_clean,Black_Capped_Chickadee_clean,Robin_clean}

@DATA
0.097290,0.008489,2.212507,0.143821,0.129766,0.370094,0.001452,0.110438,-31.047054,-1.167463,0.869999,-0.305395,-0.585466,0.272493,-0.244796,-0.248041,0.146984,-0.213930,0.080255,-0.060862,-0.056152,0.004443,0.003480,0.005897,0.005133,0.003882,0.003450,0.006130,0.005890,0.007136,0.004873,0.006757,0.006352,0.007293,0.031117,0.008988,0.538824,0.028927,0.034798,0.356726,0.001451,0.043112,2.842037,1.274323,0.979373,0.846995,0.875551,0.754435,0.623710,0.461781,0.403318,0.350377,0.317472,0.277257,0.250416,0.005818,0.004576,0.006703,0.006147,0.004866,0.004411,0.007680,0.008368,0.008333,0.005889,0.007530,0.009024,0.004644,Northern_Cardinal_clean
0.064574,0.011607,2.697659,0.105198,0.127175,0.288981,0.001261,0.077259,-28.213075,1.827637,-0.140598,-0.408824,-0.972038,0.316397,-0.643612,-0.143068,-0.204319,-0.065113,0.038262,-0.137002,-0.046263,0.005523,0.007451,0.013032,0.010855,0.007042,0.008872,0.020717,0.020436,0.014536,0.007448,0.007916,0.006855,0.013692,0.034698,0.013019,0.511888,0.039024,0.036364,0.317263,0.000871,0.054719,2.287102,0.973162,0.936251,0.607078,0.564075,0.513161,0.462738,0.380443,0.400609,0.292183,0.265617,0.247819,0.215265,0.006970,0.008880,0.012448,0.010696,0.007882,0.010667,0.021565,0.020843,0.013358,0.008322,0.008820,0.007549,0.007576,Northern_Cardinal_clean
0.107313,0.009793,2.397009,0.161387,0.147678,0.387551,0.001676,0.119820,-33.105330,-2.032142,0.829619,-0.155909,-0.342832,0.263113,-0.353404,0.136453,-0.103573,0.058019,-0.165694,0.251842,-0.302014,0.003667,0.003397,0.002505,0.002087,0.004756,0.002994,0.006693,0.003787,0.003031,0.001267,0.001970,0.003668,0.005413,0.022941,0.015564,0.624272,0.034775,0.032026,0.334953,0.001709,0.047142,3.806355,1.214905,0.839007,0.842386,0.730898,0.440849,0.472346,0.690296,0.689324,0.600458,0.476716,0.302461,0.257484,0.005935,0.006467,0.004026,0.003663,0.007894,0.004175,0.009324,0.006154,0.004625,0.001956,0.003265,0.005899,0.003790,Northern_Cardinal_clean
0.111572,0.010682,2.220413,0.162991,0.139474,0.512599,0.001428,0.133351,-31.623390,-1.800404,0.761239,-0.160604,-0.409407,0.210967,-0.236167,-0.008559,-0.055178,-0.014572,-0.049432,0.031114,-0.119496,0.005685,0.005615,0.004205,0.003777,0.003559,0.002689,0.004813,0.004450,0.004647,0.002648,0.002243,0.003706,0.005404,0.029815,0.013319,0.670108,0.038343,0.032290,0.378483,0.001254,0.048869,3.516082,1.184040,0.874493,0.776708,0.651093,0.538259,0.567412,0.597133,0.529313,0.478886,0.425433,0.281284,0.214818,0.007816,0.007453,0.004857,0.005155,0.005796,0.003207,0.006939,0.005538,0.006068,0.003478,0.002965,0.005310,0.003341,Northern_Cardinal_clean
0.140344,0.009369,2.239205,0.197854,0.141305,0.704590,0.001328,0.181321,-33.259891,-2.732660,1.222742,-0.295439,-0.258509,0.231777,-0.146920,-0.007497,0.005258,0.011901,-0.046351,0.046955,-0.056731,0.003059,0.002135,0.002039,0.001463,0.001596,0.001075,0.001234,0.001232,0.002113,0.001512,0.001461,0.002251,0.002625,0.039882,0.010732,0.638219,0.040668,0.030706,0.435422,0.001640,0.072760,2.947300,1.256343,0.797123,0.762283,0.683258,0.573893,0.488126,0.424393,0.374428,0.341560,0.281865,0.240640,0.215051,0.004342,0.002995,0.003013,0.002216,0.003375,0.002063,0.002026,0.002016,0.003560,0.002864,0.002865,0.004181,0.002169,Northern_Cardinal_clean
0.162771,0.007779,2.624413,0.199942,0.130053,0.474414,0.002048,0.179013,-34.202654,-2.244661,0.861680,-0.090810,-0.257336,0.256612,-0.182182,0.028565,0.030703,-0.112291,0.098938,-0.097349,0.037019,0.001975,0.002003,0.002522,0.001801,0.001011,0.004487,0.000653,0.000747,0.000734,0.000707,0.003265,0.001722,0.003781,0.044881,0.008715,0.580042,0.039663,0.027428,0.367200,0.002158,0.051685,2.698863,0.996656,0.642808,0.706468,0.682795,0.569159,0.505152,0.453497,0.413676,0.386289,0.335870,0.279308,0.202220,0.002885,0.003412,0.004889,0.003297,0.001741,0.008008,0.001172,0.001413,0.001508,0.001423,0.006842,0.002887,0.004027,Northern_Cardinal_clean
0.095250,0.010986,2.363946,0.141786,0.135323,0.343687,0.001544,0.108255,-30.807688,-0.612137,0.496302,-0.072656,-0.667823,0.441822,-0.314130,-0.155546,-0.023000,-0.080954,0.032799,-0.116243,-0.051801,0.005034,0.004830,0.004181,0.005925,0.005147,0.003250,0.006919,0.006881,0.006667,0.005815,0.003713,0.004669,0.007922,0.033903,0.010664,0.482403,0.033120,0.034109,0.337843,0.001424,0.046647,2.999611,1.338461,0.958462,0.715006,0.733827,0.656319,0.567412,0.523987,0.532774,0.494340,0.399258,0.328266,0.300959,0.007638,0.006722,0.005558,0.009144,0.007920,0.004434,0.008595,0.009089,0.007217,0.007042,0.004454,0.007079,0.005959,Northern_Cardinal_clean
0.121273,0.014872,2.348177,0.164606,0.129592,0.424446,0.001538,0.132969,-32.241470,-2.444195,0.838818,-0.063385,-0.281410,0.262899,-0.205848,0.141170,-0.084958,-0.005305,0.064513,-0.089979,0.063836,0.002136,0.001657,0.002397,0.002524,0.003054,0.003315,0.002287,0.001389,0.000950,0.001038,0.002282,0.002827,0.004072,0.032247,0.018813,0.648563,0.030404,0.033629,0.315857,0.001300,0.041896,3.295963,1.204254,0.893520,0.730772,0.625917,0.699815,0.720225,0.651129,0.567976,0.471897,0.351599,0.228876,0.181110,0.003619,0.002898,0.004124,0.003971,0.006013,0.006765,0.004676,0.002978,0.002150,0.002297,0.004508,0.005020,0.003129,Northern_Cardinal_clean
0.149100,0.007277,1.985704,0.178127,0.115390,0.575309,0.001351,0.169409,-33.029200,-3.309039,0.930232,0.252050,-0.449260,0.081127,0.072358,-0.036696,0.026548,-0.073009,0.115293,-0.127889,0.102114,0.001945,0.000872,0.001418,0.005820,0.001337,0.000400,0.000398,0.001468,0.001104,0.000616,0.000783,0.001331,0.003148,0.020381,0.007571,0.581946,0.024614,0.034014,0.392778,0.001449,0.023737,2.334298,1.254027,0.628208,0.745050,0.636189,0.540992,0.449908,0.337703,0.310576,0.363192,0.343321,0.284192,0.241799,0.003103,0.001366,0.002196,0.007639,0.002582,0.001169,0.001030,0.003200,0.002062,0.000803,0.001196,0.002433,0.002521,Northern_Cardinal_clean
0.090481,0.009433,2.267933,0.145207,0.141408,0.458203,0.001477,0.122004,-31.168767,-0.279129,0.743071,0.243433,-0.544725,0.238548,-0.350636,0.044878,0.023945,-0.152937,0.239684,-0.178031,0.169247,0.016226,0.011635,0.015864,0.013652,0.008211,0.008983,0.009777,0.006566,0.005667,0.004219,0.005770,0.009169,0.012259,0.035393,0.011496,0.653338,0.040443,0.040963,0.369643,0.001550,0.069865,3.534425,1.109290,0.860064,0.795622,0.761563,0.641330,0.522310,0.414871,0.398188,0.321555,0.270062,0.262438,0.238826,0.016303,0.014216,0.015415,0.016904,0.011125,0.012421,0.011625,0.008331,0.006922,0.005450,0.007167,0.012450,0.006663,Northern_Cardinal_clean
